,executed_params,executed_p,executed_ref,executed_broker,executed_info,executed_comminfo,executed_triggered,executed_status,executed_position,executed_valid,executed_dteos,executed_plen,created_pclose,created_exbits,created_p1,created_p2,created_date,created_size,created_remsize,created_price,created_pricelimit,created_trailamount,created_trailpercent,created_value,created_comm,created_margin,created_pnl,created_psize,created_pprice,executed_pclose,executed_exbits,executed_p1,executed_p2,executed_size,executed_remsize,executed_price,executed_pricelimit,executed_trailamount,executed_trailpercent,executed_value,executed_comm,executed_margin,executed_pnl,executed_psize,executed_pprice,executed_pannotated,executed_date
1,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000019851A1A440>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000019851A1A440>,1,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",None,False,1,0,738837.8020833334,738835.9999999999,280,37063.3,deque([]),0,0,2023-11-11 04:39:00,0.18019515923600027,0,37111.5,37111.5,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
2,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851A1B520>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851A1B520>,2,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",None,False,1,0,738837.8020833334,738835.9999999999,280,37063.3,deque([]),0,0,2023-11-11 04:39:00,-0.18019515923600027,0,37061.6,37061.6,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
3,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D8D90>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D8D90>,3,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",None,False,1,0,738837.8020833334,738835.9999999999,280,37063.3,deque([]),0,0,2023-11-11 04:39:00,-0.18019515923600027,0,37361.00000000001,37361.00000000001,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
1,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000019851A1A440>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000019851A1A440>,1,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",None,False,2,0,738837.8020833334,738835.9999999999,281,37063.3,deque([]),0,0,2023-11-11 04:39:00,0.18019515923600027,0,37111.5,37111.5,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
2,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851A1B520>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851A1B520>,2,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",None,False,2,0,738837.8020833334,738835.9999999999,281,37063.3,deque([]),0,0,2023-11-11 04:39:00,-0.18019515923600027,0,37061.6,37061.6,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
3,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D8D90>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D8D90>,3,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",None,False,2,0,738837.8020833334,738835.9999999999,281,37063.3,deque([]),0,0,2023-11-11 04:39:00,-0.18019515923600027,0,37361.00000000001,37361.00000000001,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
1,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000019851A1A440>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000019851A1A440>,1,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",<backtrader.comminfo.CommInfoBase object at 0x00000198496769E0>,True,4,0,738837.8020833334,738835.9999999999,281,37063.3,deque([]),0,0,2023-11-11 04:39:00,0.18019515923600027,0,37111.5,37111.5,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([<backtrader.order.OrderExecutionBit object at 0x000001984DFD62F0>]),0,1,0.18019515923600027,0.0,37111.5,0.0,0.0,0.0,6687.312651986824,0.0,None,0.0,0.18019515923600027,37111.5,None,
2,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851A1B520>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851A1B520>,2,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",<backtrader.comminfo.CommInfoBase object at 0x00000198496769E0>,False,4,0,738837.8020833334,738835.9999999999,281,37063.3,deque([]),0,0,2023-11-11 04:39:00,-0.18019515923600027,0,37061.6,37061.6,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([<backtrader.order.OrderExecutionBit object at 0x0000019851FAEFE0>]),0,1,-0.18019515923600027,0.0,37061.6,0.0,0.0,0.0,6687.312651986824,0.0,None,-8.991738445876676,0.0,0.0,None,
3,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D8D90>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D8D90>,3,None,"AutoOrderedDict([('pprice', 37117.09538645987), ('custom_order_id', 1), ('signal', original_index          2023-11-11 04:39:00+00:00
end                     2023-11-13 19:15:00+00:00
base_asset_amount                             NaN
limit_price                          37117.095386
stop_loss                                 37061.6
take_profit                               37361.0
trigger_price                             37111.5
trigger_satisfied                           False
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
Name: (2023-11-11 04:39:00+00:00, 2023-11-11 03:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 04:39:00+0000', tz='UTC'), Timestamp('2023-11-11 03:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",None,False,5,0,738837.8020833334,738835.9999999999,281,37063.3,deque([]),0,0,2023-11-11 04:39:00,-0.18019515923600027,0,37361.00000000001,37361.00000000001,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.18019515923600027,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
4,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001984DF73250>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001984DF73250>,4,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",None,False,1,0,738838.0833333334,738835.9999999999,684,37005.9,deque([]),0,0,2023-11-11 11:23:00,0.32498198837544584,0,37029.6,37029.6,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
