,side,size,price,exectype,status,valid,type,triggered,tradeid,transmit,histnotify,simulated,plen,parent,plimit,price_limit,trailamount,trailpercent,oco
1,Buy,0.04675664582848126,47013.6,StopLimit,Submitted,2024-01-11 12:15:00+00:00,Buy,False,0,False,False,False,1623,,,,,,
2,Sell,-0.04675664582848126,46815.6,Stop,Submitted,2024-01-11 12:15:00+00:00,Sell,False,0,False,False,False,1623,,,,,,
3,Sell,-0.04675664582848126,48003.6,Limit,Submitted,2024-01-11 12:15:00+00:00,Sell,False,0,True,False,False,1623,,,,,,
4,Buy,0.03499074294423603,47095.9,StopLimit,Submitted,2024-01-19 15:00:00+00:00,Buy,False,0,False,False,False,1623,,,,,,
5,Sell,-0.03499074294423603,46833.3,Stop,Submitted,2024-01-19 15:00:00+00:00,Sell,False,0,False,False,False,1623,,,,,,
6,Sell,-0.03499074294423603,48408.899999999994,Limit,Submitted,2024-01-19 15:00:00+00:00,Sell,False,0,True,False,False,1623,,,,,,
1,Buy,0.04675664582848126,47013.6,StopLimit,Accepted,2024-01-11 12:15:00+00:00,Buy,False,0,False,False,False,1624,,,,,,
2,Sell,-0.04675664582848126,46815.6,Stop,Accepted,2024-01-11 12:15:00+00:00,Sell,False,0,False,False,False,1624,,,,,,
3,Sell,-0.04675664582848126,48003.6,Limit,Accepted,2024-01-11 12:15:00+00:00,Sell,False,0,True,False,False,1624,,,,,,
4,Buy,0.03499074294423603,47095.9,StopLimit,Accepted,2024-01-19 15:00:00+00:00,Buy,False,0,False,False,False,1624,,,,,,
5,Sell,-0.03499074294423603,46833.3,Stop,Accepted,2024-01-19 15:00:00+00:00,Sell,False,0,False,False,False,1624,,,,,,
6,Sell,-0.03499074294423603,48408.899999999994,Limit,Accepted,2024-01-19 15:00:00+00:00,Sell,False,0,True,False,False,1624,,,,,,
7,Buy,0.06883280026612464,46956.8,StopLimit,Submitted,2024-01-11 19:30:00+00:00,Buy,False,0,False,False,False,1814,,,,,,
8,Sell,-0.06883280026612464,46821.8,Stop,Submitted,2024-01-11 19:30:00+00:00,Sell,False,0,False,False,False,1814,,,,,,
9,Sell,-0.06883280026612464,47631.8,Limit,Submitted,2024-01-11 19:30:00+00:00,Sell,False,0,True,False,False,1814,,,,,,
10,Buy,0.06894074337141776,46956.8,StopLimit,Submitted,2024-01-11 19:45:00+00:00,Buy,False,0,False,False,False,1814,,,,,,
11,Sell,-0.06894074337141776,46821.8,Stop,Submitted,2024-01-11 19:45:00+00:00,Sell,False,0,False,False,False,1814,,,,,,
12,Sell,-0.06894074337141776,47631.8,Limit,Submitted,2024-01-11 19:45:00+00:00,Sell,False,0,True,False,False,1814,,,,,,
7,Buy,0.06883280026612464,46956.8,StopLimit,Accepted,2024-01-11 19:30:00+00:00,Buy,False,0,False,False,False,1815,,,,,,
8,Sell,-0.06883280026612464,46821.8,Stop,Accepted,2024-01-11 19:30:00+00:00,Sell,False,0,False,False,False,1815,,,,,,
9,Sell,-0.06883280026612464,47631.8,Limit,Accepted,2024-01-11 19:30:00+00:00,Sell,False,0,True,False,False,1815,,,,,,
10,Buy,0.06894074337141776,46956.8,StopLimit,Accepted,2024-01-11 19:45:00+00:00,Buy,False,0,False,False,False,1815,,,,,,
11,Sell,-0.06894074337141776,46821.8,Stop,Accepted,2024-01-11 19:45:00+00:00,Sell,False,0,False,False,False,1815,,,,,,
12,Sell,-0.06894074337141776,47631.8,Limit,Accepted,2024-01-11 19:45:00+00:00,Sell,False,0,True,False,False,1815,,,,,,
7,Buy,0.06883280026612464,46956.8,StopLimit,Completed,2024-01-11 19:30:00+00:00,Buy,True,0,False,False,False,1815,,,,,,
10,Buy,0.06894074337141776,46956.8,StopLimit,Completed,2024-01-11 19:45:00+00:00,Buy,True,0,False,False,False,1815,,,,,,
8,Sell,-0.06883280026612464,46821.8,Stop,Completed,2024-01-11 19:30:00+00:00,Sell,False,0,False,False,False,1815,,,,,,
9,Sell,-0.06883280026612464,47631.8,Limit,Canceled,2024-01-11 19:30:00+00:00,Sell,False,0,True,False,False,1815,,,,,,
11,Sell,-0.06894074337141776,46821.8,Stop,Completed,2024-01-11 19:45:00+00:00,Sell,False,0,False,False,False,1815,,,,,,
12,Sell,-0.06894074337141776,47631.8,Limit,Canceled,2024-01-11 19:45:00+00:00,Sell,False,0,True,False,False,1815,,,,,,
13,Buy,0.04290594511895813,46640.0,StopLimit,Submitted,2024-01-20 03:00:00+00:00,Buy,False,0,False,False,False,2217,,,,,,
14,Sell,-0.04290594511895813,46427.1,Stop,Submitted,2024-01-20 03:00:00+00:00,Sell,False,0,False,False,False,2217,,,,,,
15,Sell,-0.04290594511895813,47704.50000000001,Limit,Submitted,2024-01-20 03:00:00+00:00,Sell,False,0,True,False,False,2217,,,,,,
13,Buy,0.04290594511895813,46640.0,StopLimit,Accepted,2024-01-20 03:00:00+00:00,Buy,False,0,False,False,False,2218,,,,,,
14,Sell,-0.04290594511895813,46427.1,Stop,Accepted,2024-01-20 03:00:00+00:00,Sell,False,0,False,False,False,2218,,,,,,
15,Sell,-0.04290594511895813,47704.50000000001,Limit,Accepted,2024-01-20 03:00:00+00:00,Sell,False,0,True,False,False,2218,,,,,,
13,Buy,0.04290594511895813,46640.0,StopLimit,Completed,2024-01-20 03:00:00+00:00,Buy,True,0,False,False,False,2218,,,,,,
1,Buy,0.04675664582848126,47013.6,StopLimit,Completed,2024-01-11 12:15:00+00:00,Buy,True,0,False,False,False,1624,,,,,,
2,Sell,-0.04675664582848126,46815.6,Stop,Completed,2024-01-11 12:15:00+00:00,Sell,False,0,False,False,False,1624,,,,,,
3,Sell,-0.04675664582848126,48003.6,Limit,Canceled,2024-01-11 12:15:00+00:00,Sell,False,0,True,False,False,1624,,,,,,
4,Buy,0.03499074294423603,47095.9,StopLimit,Completed,2024-01-19 15:00:00+00:00,Buy,True,0,False,False,False,1624,,,,,,
15,Sell,-0.04290594511895813,47704.50000000001,Limit,Completed,2024-01-20 03:00:00+00:00,Sell,False,0,True,False,False,2218,,,,,,
14,Sell,-0.04290594511895813,46427.1,Stop,Canceled,2024-01-20 03:00:00+00:00,Sell,False,0,False,False,False,2218,,,,,,
5,Sell,-0.03499074294423603,46833.3,Stop,Completed,2024-01-19 15:00:00+00:00,Sell,False,0,False,False,False,1624,,,,,,
6,Sell,-0.03499074294423603,48408.899999999994,Limit,Canceled,2024-01-19 15:00:00+00:00,Sell,False,0,True,False,False,1624,,,,,,
16,Sell,-0.04290594511895813,46406.932065654895,Limit,Submitted,2024-01-20 03:00:00+00:00,Sell,False,0,False,False,False,2716,,,,,,
