,cash,fund_shares,fund_value,BTCUSDT_value,BTCUSDT_position_size,BTCUSDT_position_price,BTCUSDT_position_price_orig,BTCUSDT_position_upclosed,BTCUSDT_position_upopened,BTCUSDT_position_adjbase,BTCUSDT_position_updt
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 03:03:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 06:14:00+00:00,100000.0,5000000.0,0.02,100000.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-09 12:51:00+00:00,93530.59526612064,5000000.0,0.019997134310292337,99985.67155146168,0.1377735436375424,46956.8,46956.8,0.0,0.06894074337141776,,
2024-01-09 12:51:00+00:00,93530.59526612064,5000000.0,0.019997134310292337,99985.67155146168,0.1377735436375424,46956.8,46956.8,0.0,0.06894074337141776,,
2024-01-09 12:54:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:54:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:54:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:54:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:57:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:57:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:57:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:57:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:57:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 12:57:00+00:00,99981.40057160892,5000000.0,0.019996280114321783,99981.40057160892,1.3877787807814457e-17,46956.8,46956.8,-0.06894074337141776,0.0,,
2024-01-09 13:01:00+00:00,97980.26729126071,5000000.0,0.01999542714413282,99977.1357206641,0.04290594511895814,46640.0,46956.8,0.0,0.04290594511895813,,
