timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
1h,2023-11-13 06:36:00+00:00,36750.8,36843.31688371092,36732.7124229878,2023-11-13 06:36:00+00:00,2023-11-18 14:36:00+00:00,,,0,
1h,2023-11-13 07:29:00+00:00,37041.0,36955.04650382183,37054.75420931372,2023-11-13 07:29:00+00:00,2023-11-18 15:29:00+00:00,,,0,
1h,2023-11-13 07:29:00+00:00,37041.0,36955.04650382183,37054.75420931372,2023-11-13 07:29:00+00:00,2023-11-18 15:29:00+00:00,,,0,
1h,2023-11-13 14:46:00+00:00,36530.1,36672.8,36495.53540471204,2023-11-13 14:46:00+00:00,2023-11-18 22:46:00+00:00,,,0,
1h,2023-11-13 16:25:00+00:00,37033.0,36917.79767920082,37059.23148055488,2023-11-13 16:25:00+00:00,2023-11-19 00:25:00+00:00,,,0,
1h,2023-11-13 16:25:00+00:00,37033.0,36917.79767920082,37059.23148055488,2023-11-13 16:25:00+00:00,2023-11-19 00:25:00+00:00,,,0,
1h,2023-11-13 16:25:00+00:00,37033.0,36917.79767920082,37059.23148055488,2023-11-13 16:25:00+00:00,2023-11-19 00:25:00+00:00,,,0,
1h,2023-11-14 00:59:00+00:00,36200.0,36337.5412309736,36171.90961725969,2023-11-14 00:59:00+00:00,2023-11-19 08:59:00+00:00,,,0,
1h,2023-11-14 00:59:00+00:00,36200.0,36337.5412309736,36171.90961725969,2023-11-14 00:59:00+00:00,2023-11-19 08:59:00+00:00,,,0,
1h,2023-11-14 08:56:00+00:00,36746.5,36677.6717223391,36759.58177450614,2023-11-14 08:56:00+00:00,2023-11-19 16:56:00+00:00,,,0,
1D,2023-11-14 18:53:00+00:00,34740.0,35292.1,34498.21232957013,2023-11-14 18:53:00+00:00,2024-02-08 02:53:00+00:00,,,0,
1h,2023-11-14 18:53:00+00:00,34740.0,35227.0,34606.73553973431,2023-11-14 18:53:00+00:00,2023-11-20 02:53:00+00:00,,,0,
4h,2023-11-14 18:53:00+00:00,34740.0,35227.0,34564.77519379091,2023-11-14 18:53:00+00:00,2023-12-06 02:53:00+00:00,,,0,
1h,2023-11-14 23:07:00+00:00,35669.9,35512.227451506245,35687.63624211768,2023-11-14 23:07:00+00:00,2023-11-20 07:07:00+00:00,,,0,
1h,2023-11-15 02:19:00+00:00,35359.4,35454.41056998056,35335.051217258886,2023-11-15 02:19:00+00:00,2023-11-20 10:19:00+00:00,,,0,
1h,2023-11-15 12:41:00+00:00,36392.0,36279.986485180285,36428.23886327901,2023-11-15 12:41:00+00:00,2023-11-20 20:41:00+00:00,,,0,
1h,2023-11-15 13:33:00+00:00,36006.3,36120.0832829229,35972.71367729296,2023-11-15 13:33:00+00:00,2023-11-20 21:33:00+00:00,,,0,
1h,2023-11-15 16:03:00+00:00,36550.9,36403.5,36587.509733439445,2023-11-15 16:03:00+00:00,2023-11-21 00:03:00+00:00,,,0,
1h,2023-11-15 23:56:00+00:00,37954.9,37758.34594977851,37994.452849010784,2023-11-15 23:56:00+00:00,2023-11-21 07:56:00+00:00,,,0,
4h,2023-11-15 23:56:00+00:00,37954.9,37608.16423901795,38053.29274689796,2023-11-15 23:56:00+00:00,2023-12-07 07:56:00+00:00,,,0,
4h,2023-11-15 23:56:00+00:00,37954.9,37608.16423901795,38053.29274689796,2023-11-15 23:56:00+00:00,2023-12-07 07:56:00+00:00,,,0,
1h,2023-11-16 04:26:00+00:00,37325.0,37449.80475852748,37310.07943531882,2023-11-16 04:26:00+00:00,2023-11-21 12:26:00+00:00,,,0,
1h,2023-11-16 09:08:00+00:00,37187.9,37300.9,37163.77912970696,2023-11-16 09:08:00+00:00,2023-11-21 17:08:00+00:00,,,0,
1h,2023-11-16 19:40:00+00:00,35499.5,35766.8,35412.61649677538,2023-11-16 19:40:00+00:00,2023-11-22 03:40:00+00:00,,,0,
1h,2023-11-16 19:40:00+00:00,35499.5,35766.8,35412.61649677538,2023-11-16 19:40:00+00:00,2023-11-22 03:40:00+00:00,,,0,
1h,2023-11-17 02:30:00+00:00,36665.2,36527.37127255893,36689.29039375409,2023-11-17 02:30:00+00:00,2023-11-22 10:30:00+00:00,,,0,
1h,2023-11-17 02:30:00+00:00,36665.2,36527.37127255893,36689.29039375409,2023-11-17 02:30:00+00:00,2023-11-22 10:30:00+00:00,,,0,
1h,2023-11-17 08:16:00+00:00,36167.0,36280.395933832246,36144.86504148765,2023-11-17 08:16:00+00:00,2023-11-22 16:16:00+00:00,,,0,
1h,2023-11-17 13:09:00+00:00,36640.2,36527.124211033224,36673.1655224849,2023-11-17 13:09:00+00:00,2023-11-22 21:09:00+00:00,,,0,
1h,2023-11-17 14:55:00+00:00,35859.4,36014.6,35801.027507797735,2023-11-17 14:55:00+00:00,2023-11-22 22:55:00+00:00,,,0,
4h,2023-11-17 14:55:00+00:00,35859.4,36158.98101882964,35766.10463323774,2023-11-17 14:55:00+00:00,2023-12-08 22:55:00+00:00,,,0,
1h,2023-11-17 19:16:00+00:00,36571.5,36400.41496902032,36603.93587203422,2023-11-17 19:16:00+00:00,2023-11-23 03:16:00+00:00,,,0,
