timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
15min,2023-08-19 07:02:00,25802.1,25849.986121262238,25754.21387873776,2023-08-19 07:02:00,2023-08-24 15:02:00,,,0,
15min,2023-08-19 16:59:00,26275.9,26211.662349124697,26340.137650875306,2023-08-19 16:59:00,2023-08-25 00:59:00,,,0,
15min,2023-08-20 06:16:00,26048.3,26079.60520256591,26016.99479743409,2023-08-20 06:16:00,2023-08-25 14:16:00,,,0,
15min,2023-08-20 15:08:00,25978.9,26064.3,25938.405366797997,2023-08-20 15:08:00,2023-08-25 23:08:00,,,0,
1H,2023-08-20 20:45:00,26298.0,26211.474146645287,26384.525853354713,2023-08-20 20:45:00,2023-09-11 04:45:00,,,0,
15min,2023-08-21 15:28:00,25812.5,25883.99590936229,25741.00409063771,2023-08-21 15:28:00,2023-08-26 23:28:00,,,0,
15min,2023-08-21 21:33:00,26261.3,26198.0,26319.857866543505,2023-08-21 21:33:00,2023-08-27 05:33:00,,,0,
15min,2023-08-22 05:25:00,26001.0,26029.1,25973.995479073725,2023-08-22 05:25:00,2023-08-27 13:25:00,,,0,
1H,2023-08-22 21:27:00,25350.0,25667.2,25203.06988162524,2023-08-22 21:27:00,2023-09-13 05:27:00,,,0,
15min,2023-08-23 00:15:00,26185.0,26072.96483285637,26297.03516714363,2023-08-23 00:15:00,2023-08-28 08:15:00,,,0,
15min,2023-08-23 13:16:00,25816.3,25860.729393135203,25771.870606864795,2023-08-23 13:16:00,2023-08-28 21:16:00,,,0,
1H,2023-08-23 19:47:00,26813.9,26633.1,26980.124919152324,2023-08-23 19:47:00,2023-09-14 03:47:00,,,0,
15min,2023-08-24 09:09:00,26580.9,26535.8576420579,26625.9423579421,2023-08-24 09:09:00,2023-08-29 17:09:00,,,0,
15min,2023-08-24 17:38:00,25867.0,25993.2,25786.933490949417,2023-08-24 17:38:00,2023-08-30 01:38:00,,,0,
15min,2023-08-24 23:48:00,26207.0,26154.680429260472,26259.319570739528,2023-08-24 23:48:00,2023-08-30 07:48:00,,,0,
15min,2023-08-25 14:16:00,26307.7,26106.4,26369.15170175597,2023-08-25 14:16:00,2023-08-30 22:16:00,,,0,
1H,2023-08-25 14:56:00,25780.2,25909.394291142893,25651.00570885711,2023-08-25 14:56:00,2023-09-15 22:56:00,,,0,
15min,2023-08-26 02:16:00,26120.2,26076.3,26155.09011014617,2023-08-26 02:16:00,2023-08-31 10:16:00,,,0,
15min,2023-08-26 12:42:00,25984.9,25999.455246130565,25970.344753869438,2023-08-26 12:42:00,2023-08-31 20:42:00,,,0,
15min,2023-08-27 01:38:00,25963.7,25980.492959569303,25946.9070404307,2023-08-27 01:38:00,2023-09-01 09:38:00,,,0,
15min,2023-08-27 14:37:00,26179.6,26159.2,26198.517877108497,2023-08-27 14:37:00,2023-09-01 22:37:00,,,0,
1H,2023-08-28 09:19:00,25865.7,25933.8,25803.16347426524,2023-08-28 09:19:00,2023-09-18 17:19:00,,,0,
15min,2023-08-28 12:26:00,26250.5,26168.2,26298.33587101175,2023-08-28 12:26:00,2023-09-02 20:26:00,,,0,
15min,2023-08-28 19:24:00,25921.0,25976.4,25868.14301360102,2023-08-28 19:24:00,2023-09-03 03:24:00,,,0,
15min,2023-08-29 01:18:00,26204.1,26128.9,26247.61980644661,2023-08-29 01:18:00,2023-09-03 09:18:00,,,0,
15min,2023-08-29 10:38:00,25923.7,25962.8,25894.731932743445,2023-08-29 10:38:00,2023-09-03 18:38:00,,,0,
1H,2023-08-29 16:27:00,28148.8,27913.84055545312,28383.75944454688,2023-08-29 16:27:00,2023-09-20 00:27:00,,,0,
15min,2023-08-30 03:25:00,27284.1,27374.80446194672,27193.39553805328,2023-08-30 03:25:00,2023-09-04 11:25:00,,,0,
15min,2023-08-30 14:50:00,27018.0,27114.376427538027,26921.623572461973,2023-08-30 14:50:00,2023-09-04 22:50:00,,,0,
15min,2023-08-31 11:42:00,27578.8,27464.0,27631.65032683971,2023-08-31 11:42:00,2023-09-05 19:42:00,,,0,
15min,2023-08-31 21:09:00,25668.2,25871.1,25523.42806946762,2023-08-31 21:09:00,2023-09-06 05:09:00,,,0,
15min,2023-09-01 12:18:00,26155.8,26084.1,26196.523299645844,2023-09-01 12:18:00,2023-09-06 20:18:00,,,0,
1H,2023-09-01 17:42:00,25334.8,25519.609635388442,25149.990364611556,2023-09-01 17:42:00,2023-09-23 01:42:00,,,0,
15min,2023-09-02 06:39:00,25864.5,25812.4,25901.558200846168,2023-09-02 06:39:00,2023-09-07 14:39:00,,,0,
15min,2023-09-02 15:41:00,25985.7,25946.7,26022.966402797567,2023-09-02 15:41:00,2023-09-07 23:41:00,,,0,
15min,2023-09-02 18:28:00,25766.1,25802.052569233685,25730.147430766312,2023-09-02 18:28:00,2023-09-08 02:28:00,,,0,
15min,2023-09-03 12:36:00,26086.8,26033.6,26116.846833871034,2023-09-03 12:36:00,2023-09-08 20:36:00,,,0,
15min,2023-09-03 16:39:00,25802.1,25841.936753031358,25762.26324696864,2023-09-03 16:39:00,2023-09-09 00:39:00,,,0,
1H,2023-09-03 20:51:00,26130.6,26045.33635042906,26215.863649570936,2023-09-03 20:51:00,2023-09-25 04:51:00,,,0,
15min,2023-09-05 03:09:00,25562.5,25630.1,25512.988783249893,2023-09-05 03:09:00,2023-09-10 11:09:00,,,0,
15min,2023-09-05 14:35:00,25627.1,25676.4,25578.564159583006,2023-09-05 14:35:00,2023-09-10 22:35:00,,,0,
15min,2023-09-05 15:18:00,25908.6,25825.4,25974.632996135613,2023-09-05 15:18:00,2023-09-10 23:18:00,,,0,
15min,2023-09-06 03:01:00,25865.4,25836.06780610659,25894.732193893415,2023-09-06 03:01:00,2023-09-11 11:01:00,,,0,
1H,2023-09-06 17:05:00,25400.0,25594.5,25281.66144718872,2023-09-06 17:05:00,2023-09-28 01:05:00,,,0,
15min,2023-09-06 17:56:00,26035.8,25858.9,26129.01464286966,2023-09-06 17:56:00,2023-09-12 01:56:00,,,0,
15min,2023-09-07 04:01:00,25848.9,25811.601210507815,25886.198789492188,2023-09-07 04:01:00,2023-09-12 12:01:00,,,0,
15min,2023-09-07 14:01:00,25615.3,25658.680893621524,25571.919106378475,2023-09-07 14:01:00,2023-09-12 22:01:00,,,0,
1H,2023-09-08 00:58:00,26446.8,26297.461639366793,26596.138360633206,2023-09-08 00:58:00,2023-09-29 08:58:00,,,0,
15min,2023-09-08 10:06:00,25645.3,25735.8,25565.447265660492,2023-09-08 10:06:00,2023-09-13 18:06:00,,,0,
15min,2023-09-08 23:13:00,25934.1,25898.977859908413,25969.222140091584,2023-09-08 23:13:00,2023-09-14 07:13:00,,,0,
15min,2023-09-09 13:41:00,25802.0,25822.0,25786.156336377226,2023-09-09 13:41:00,2023-09-14 21:41:00,,,0,
15min,2023-09-09 16:33:00,25942.9,25900.8,25966.107166929884,2023-09-09 16:33:00,2023-09-15 00:33:00,,,0,
15min,2023-09-10 04:22:00,25749.1,25783.3,25726.79200945349,2023-09-10 04:22:00,2023-09-15 12:22:00,,,0,
15min,2023-09-10 19:40:00,25566.8,25714.6,25525.102525385053,2023-09-10 19:40:00,2023-09-16 03:40:00,,,0,
15min,2023-09-10 22:33:00,26032.3,25912.0,26094.11436918845,2023-09-10 22:33:00,2023-09-16 06:33:00,,,0,
4H,2023-09-11 20:01:00,24901.7,25132.814426319263,24670.58557368074,2023-09-11 20:01:00,2023-12-06 04:01:00,,,0,
15min,2023-09-12 16:30:00,26532.0,26304.3,26648.691485905572,2023-09-12 16:30:00,2023-09-18 00:30:00,,,0,
15min,2023-09-13 00:07:00,25764.6,25845.468152471276,25683.73184752872,2023-09-13 00:07:00,2023-09-18 08:07:00,,,0,
15min,2023-09-13 16:30:00,26406.3,26311.382020578163,26501.217979421835,2023-09-13 16:30:00,2023-09-19 00:30:00,,,0,
