date,reference_date,reference_timeframe,side,original_index,end,limit_price,stop_loss,take_profit,trigger_price,trigger_satisfied,stop_loss_order_id,take_profit_order_id,order_is_active,updated,original_order_id,base_asset_amount
2024-01-06 14:15:00+00:00,2024-01-06 04:00:00+00:00,1h,buy,2024-01-06 14:15:00+00:00,2024-01-06 14:15:00+00:00,43988.48042817104,43835.0,44646.19999999998,43970.2,False,Sell>-0.0652@43835.00Ref2Stop,Sell>-0.0652@44646.20Ref3Limit,False,True,,
2024-01-06 16:11:00+00:00,2024-01-06 04:00:00+00:00,15min,buy,2024-01-06 16:11:00+00:00,2024-01-06 16:11:00+00:00,43976.28770920243,43924.2,44200.2,43970.2,False,Sell>-0.1920@43924.20Ref5Stop,Sell>-0.1920@44200.20Ref6Limit,False,True,,
2024-01-06 17:49:00+00:00,2024-01-06 01:00:00+00:00,15min,buy,2024-01-06 17:49:00+00:00,2024-01-06 19:42:00+00:00,44100.406193560884,43994.2,44578.600000000006,44091.6,False,Sell>-0.0942@43994.20Ref8Stop,Sell>-0.0942@44578.60Ref9Limit,False,True,,
2024-01-06 17:53:00+00:00,2024-01-06 04:00:00+00:00,15min,buy,"(Timestamp('2024-01-06 16:11:00+0000', tz='UTC'), Timestamp('2024-01-06 04:00:00+0000', tz='UTC'), '15min', 'buy')",2024-01-06 16:11:00+00:00,43976.28770920243,43924.2,44200.2,43970.2,False,Sell>-0.1920@43924.20Ref5Stop,Sell>-0.1920@44200.20Ref6Limit,False,True,,
2024-01-06 18:59:00+00:00,2024-01-06 04:00:00+00:00,15min,sell,2024-01-06 18:59:00+00:00,2024-01-06 19:42:00+00:00,43918.112290797566,43970.2,43694.2,43924.2,False,Buy<0.1920@43970.20Ref11Stop,Buy<0.1920@43694.20Ref12Limit,False,True,,
2024-01-06 19:42:00+00:00,2024-01-06 04:00:00+00:00,1h,buy,"(Timestamp('2024-01-06 14:15:00+0000', tz='UTC'), Timestamp('2024-01-06 04:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-06 14:15:00+00:00,43988.48042817104,43835.0,44646.19999999998,43970.2,False,Sell>-0.0652@43835.00Ref2Stop,Sell>-0.0652@44646.20Ref3Limit,False,True,,
2024-01-06 20:13:00+00:00,2024-01-06 08:45:00+00:00,15min,sell,2024-01-06 20:13:00+00:00,2024-01-06 20:13:00+00:00,43621.496042131665,43705.7,43235.90000000002,43627.4,False,Buy<0.1188@43705.70Ref14Stop,Buy<0.1188@43235.90Ref15Limit,False,True,,
2024-01-07 01:57:00+00:00,2024-01-06 01:00:00+00:00,15min,buy,"(Timestamp('2024-01-06 17:49:00+0000', tz='UTC'), Timestamp('2024-01-06 01:00:00+0000', tz='UTC'), '15min', 'buy')",2024-01-06 19:42:00+00:00,44100.406193560884,43994.2,44578.600000000006,44091.6,False,Sell>-0.0942@43994.20Ref8Stop,Sell>-0.0942@44578.60Ref9Limit,False,True,,
2024-01-07 15:40:00+00:00,2024-01-06 01:00:00+00:00,15min,sell,2024-01-07 15:40:00+00:00,2024-01-07 15:40:00+00:00,43985.39380643911,44091.6,43507.19999999999,43994.2,False,Buy<0.0942@44091.60Ref17Stop,Buy<0.0942@43507.20Ref18Limit,False,True,,
2024-01-07 15:46:00+00:00,2024-01-06 04:00:00+00:00,1h,sell,2024-01-07 15:46:00+00:00,2024-01-07 15:46:00+00:00,43816.71957182896,43970.2,43159.000000000015,43835.0,False,Buy<0.0652@43970.20Ref20Stop,Buy<0.0652@43159.00Ref21Limit,False,True,,
2024-01-07 15:46:00+00:00,2024-01-07 04:00:00+00:00,1h,sell,2024-01-07 15:46:00+00:00,2024-01-07 15:46:00+00:00,43895.26348947717,44032.9,43264.30000000001,43904.8,False,Buy<0.0727@44032.90Ref23Stop,Buy<0.0727@43264.30Ref24Limit,False,True,,
