date,ref_date,ref_timeframe,side,original_index,end,limit_price,stop_loss,take_profit,trigger_price,trigger_satisfied,stop_loss_order_id,take_profit_order_id,order_is_active,updated,original_order_id,base_asset_amount
2024-01-07 15:46:00+00:00,2024-01-07 04:00:00+00:00,1h,sell,2024-01-07 15:46:00+00:00,2024-01-07 15:46:00+00:00,43895.26349,44032.9,43264.3,43904.8,FALSE,Buy<0.0727@44032.90Ref2Stop,Buy<0.0727@43264.30Ref3Limit,FALSE,TRUE,,
2024-01-07 17:06:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,2024-01-07 17:06:00+00:00,2024-01-07 17:06:00+00:00,44042.43651,43904.8,44673.4,44032.9,FALSE,Sell>-0.0727@43904.80Ref5Stop,Sell>-0.0727@44673.40Ref6Limit,FALSE,TRUE,,
2024-01-07 17:22:00+00:00,2024-01-07 04:00:00+00:00,1h,sell,"(Timestamp('2024-01-07 15:46:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'sell')",2024-01-07 15:46:00+00:00,43895.26349,44032.9,43264.3,43904.8,FALSE,Buy<0.0727@44032.90Ref2Stop,Buy<0.0727@43264.30Ref3Limit,FALSE,TRUE,,
2024-01-07 22:31:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,"(Timestamp('2024-01-07 17:06:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-07 17:06:00+00:00,44042.43651,43904.8,44673.4,44032.9,FALSE,Sell>-0.0727@43904.80Ref5Stop,Sell>-0.0727@44673.40Ref6Limit,FALSE,TRUE,,
2024-01-08 06:21:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,2024-01-08 06:21:00+00:00,2024-01-08 06:21:00+00:00,44171.25119,44109.5,44446.1,44165.6,FALSE,Sell>-0.1619@44109.50Ref8Stop,Sell>-0.1619@44446.10Ref9Limit,FALSE,TRUE,,
2024-01-08 06:21:00+00:00,2024-01-07 21:00:00+00:00,1h,buy,2024-01-08 06:21:00+00:00,2024-01-08 06:21:00+00:00,44258.18449,44118.5,44892.5,44247.5,FALSE,Sell>-0.0716@44118.50Ref11Stop,Sell>-0.0716@44892.50Ref12Limit,FALSE,TRUE,,
2024-01-08 06:21:00+00:00,2024-01-07 18:45:00+00:00,15min,sell,2024-01-08 06:21:00+00:00,2024-01-08 06:21:00+00:00,44103.84881,44165.6,43829,44109.5,FALSE,Buy<0.1619@44165.60Ref14Stop,Buy<0.1619@43829.00Ref15Limit,FALSE,TRUE,,
2024-01-08 06:23:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,"(Timestamp('2024-01-08 06:21:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-08 06:21:00+00:00,44171.25119,44109.5,44446.1,44165.6,FALSE,Sell>-0.1619@44109.50Ref8Stop,Sell>-0.1619@44446.10Ref9Limit,FALSE,TRUE,,
2024-01-08 06:23:00+00:00,2024-01-07 21:00:00+00:00,1h,buy,"(Timestamp('2024-01-08 06:21:00+0000', tz='UTC'), Timestamp('2024-01-07 21:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-08 06:21:00+00:00,44258.18449,44118.5,44892.5,44247.5,FALSE,Sell>-0.0716@44118.50Ref11Stop,Sell>-0.0716@44892.50Ref12Limit,FALSE,TRUE,,
2024-01-08 06:25:00+00:00,2024-01-07 18:45:00+00:00,15min,sell,"(Timestamp('2024-01-08 06:21:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'sell')",2024-01-08 06:21:00+00:00,44103.84881,44165.6,43829,44109.5,FALSE,Buy<0.1619@44165.60Ref14Stop,Buy<0.1619@43829.00Ref15Limit,FALSE,TRUE,,
2024-01-09 03:02:00+00:00,2024-01-08 20:15:00+00:00,15min,buy,2024-01-09 03:02:00+00:00,2024-01-09 03:02:00+00:00,47029.47334,46815.6,48003.6,47013.6,FALSE,Sell>-0.0468@46815.60Ref17Stop,Sell>-0.0468@48003.60Ref18Limit,FALSE,TRUE,,
2024-01-09 03:02:00+00:00,2024-01-08 23:00:00+00:00,1h,buy,2024-01-09 03:02:00+00:00,2024-01-09 03:02:00+00:00,47119.08987,46833.3,48408.9,47095.9,FALSE,Sell>-0.0350@46833.30Ref20Stop,Sell>-0.0350@48408.90Ref21Limit,FALSE,TRUE,,
