date,open,close,low,high,volume,strength,effective_time
2017-01-01 00:02:00,966.16,966.37,966.16,966.37,8.08737633,0 days 00:10:00,0 days 00:05:00
2017-01-01 00:12:00,966.08,965.58,964.6,966.08,3.47162001,0 days 00:58:00,0 days 00:15:00
2017-01-01 00:16:00,966.22,965.56,965.56,966.22,0.35548473,0 days 00:02:00,0 days 00:01:00
2017-01-01 00:18:00,965.56,965.55,965.55,965.56,0.3509,0 days 00:05:00,0 days 00:01:00
2017-01-01 00:24:00,966.54,964.87,964.87,966.54,0.46088804,0 days 00:12:00,0 days 00:05:00
2017-01-01 00:38:00,966.06,966.39,966.06,966.39,0.3787815,0 days 00:04:00,0 days 00:01:00
2017-01-01 00:42:00,966.39,966.39,966.39,966.39,5.16150829,0 days 00:02:00,0 days 00:01:00
2017-01-01 00:45:00,966.38,965.94,965.94,966.4,5.02,0 days 00:11:00,0 days 00:05:00
2017-01-01 00:47:00,965.99,966.4,965.99,966.4,0.11998826,0 days 00:02:00,0 days 00:01:00
2017-01-01 00:56:00,966.97,966.99,966.59,966.99,0.14664617,0 days 00:08:00,0 days 00:01:00
2017-01-01 00:58:00,966.6,966.6,966.6,966.6,0.061,0 days 00:02:00,0 days 00:01:00
2017-01-01 01:03:00,966.6,966.59,966.59,966.6,0.15664467,0 days 00:06:00,0 days 00:01:00
2017-01-01 01:12:00,964.01,963.64,963.64,964.01,20.0,0 days 00:02:00,0 days 00:01:00
2017-01-01 01:14:00,963.81,962.54,962.54,963.81,30.0,3650 days 00:00:00,7 days 00:00:00
2017-01-01 01:20:00,962.9,962.87,962.87,962.9,0.192,0 days 00:05:00,0 days 00:01:00
2017-01-01 01:24:00,963.95,963.95,963.95,963.95,0.13504596,0 days 00:03:00,0 days 00:01:00
2017-01-01 01:27:00,962.88,962.88,962.88,962.88,0.01563298,0 days 00:06:00,0 days 00:01:00
2017-01-01 01:37:00,964.05,964.05,964.05,964.05,8.0,0 days 00:02:00,0 days 00:01:00
