timeframe,date,open,close,low,high,volume,ATR
15min,2017-10-06 00:00:00,4301.09,4313.5,4301.0,4313.5,9.23883891,
15min,2017-10-06 00:15:00,4313.5,4280.0,4280.0,4315.0,126.75858088,
15min,2017-10-06 00:30:00,4280.0,4311.33,4278.4,4311.33,106.26663551,
15min,2017-10-06 00:45:00,4312.34,4317.0,4301.15,4325.0,83.10796827,
15min,2017-10-06 01:00:00,4324.99,4332.0,4317.72,4334.35,43.40601687,
15min,2017-10-06 01:15:00,4332.0,4325.01,4325.0,4334.38,65.0758616,
15min,2017-10-06 01:30:00,4325.01,4329.98,4325.0,4334.36,29.28900628,
15min,2017-10-06 01:45:00,4326.96,4324.0,4308.03,4329.94,33.97116663,
15min,2017-10-06 02:00:00,4323.8,4323.0,4320.86,4329.99,28.36564445,
15min,2017-10-06 02:15:00,4323.0,4313.51,4313.51,4329.65,21.83933941,
15min,2017-10-06 02:30:00,4322.11,4318.06,4310.6,4326.05,17.90199012,
15min,2017-10-06 02:45:00,4318.06,4311.45,4311.45,4323.0,10.57350186,
15min,2017-10-06 03:00:00,4310.87,4320.72,4310.87,4322.79,21.28005436,
15min,2017-10-06 03:15:00,4315.44,4323.0,4315.44,4323.0,13.38349743,
15min,2017-10-06 03:30:00,4323.0,4323.1,4314.49,4328.95,57.85455326,16.85928571428576
15min,2017-10-06 03:45:00,4328.87,4320.0,4320.0,4328.93,20.81029532,16.29290816326537
15min,2017-10-06 04:00:00,4320.0,4312.2,4306.2,4322.57,74.47565575,16.29841472303212
15min,2017-10-06 04:15:00,4309.61,4317.54,4309.61,4319.24,16.21570543,15.82209938567269
15min,2017-10-06 04:30:00,4315.08,4314.86,4305.05,4318.45,47.66372161,15.649092286696044
15min,2017-10-06 04:45:00,4314.92,4324.0,4313.7,4325.03,20.7397462,15.34058569478918
15min,2017-10-06 05:00:00,4324.0,4319.43,4313.08,4325.0,30.70862355,15.096258145161386
15min,2017-10-06 05:15:00,4319.46,4322.13,4316.1,4323.59,75.49545714,14.552953991935556
15min,2017-10-06 05:30:00,4324.54,4354.47,4320.05,4355.0,116.44986625,16.00988584965443
15min,2017-10-06 05:45:00,4354.47,4395.0,4350.92,4395.0,367.74476772,18.01489400325054
15min,2017-10-06 06:00:00,4390.02,4376.93,4362.45,4392.89,130.11628334,19.053115860161228
15min,2017-10-06 06:15:00,4378.16,4382.05,4370.9,4393.0,33.28648604,19.27075044157831
15min,2017-10-06 06:30:00,4380.98,4414.8,4371.32,4417.0,443.45825234,21.157125410037022
15min,2017-10-06 06:45:00,4414.0,4400.77,4387.53,4414.0,103.70410725,21.593759309320124
15min,2017-10-06 07:00:00,4400.71,4411.36,4400.71,4425.0,298.38478182,21.786347930082968
15min,2017-10-06 07:15:00,4411.36,4408.97,4400.01,4415.0,111.00737523,21.300894506505596
15min,2017-10-06 07:30:00,4409.22,4383.52,4383.52,4409.22,177.31162238000002,21.61511632746947
15min,2017-10-06 07:45:00,4396.15,4403.3,4389.35,4414.98,174.82657262,22.31832230407873
15min,2017-10-06 08:00:00,4403.48,4391.0,4382.16,4413.06,106.70849424,22.931299282358857
15min,2017-10-06 08:15:00,4391.0,4397.66,4382.24,4404.0,38.57467589,22.84763504790467
15min,2017-10-06 08:30:00,4393.65,4385.57,4384.77,4399.56,38.2163685,22.27208968734005
