timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2017-12-24 00:02:00,14598.91,14598.91,14540.01,14550.0,2.40548274,valley,0 days 00:02:00
5min,2017-12-24 00:07:00,14298.0,14300.0,13993.5,14050.0,359.4248338,valley,0 days 00:07:00
1min,2017-12-24 00:10:00,14149.95,14288.54,14126.74,14283.52,24.38807369,peak,0 days 00:03:00
1min,2017-12-24 00:13:00,14226.27,14289.85,14226.27,14242.0,37.14806373,peak,0 days 00:02:00
1min,2017-12-24 00:14:00,14242.0,14274.95,14170.52,14274.89,11.610231,valley,0 days 00:04:00
5min,2017-12-24 00:17:00,14350.0,14401.72,14309.82,14386.91,14.88004861,peak,0 days 00:11:00
1min,2017-12-24 00:18:00,14386.91,14400.0,14289.48,14349.45,10.19973214,valley,0 days 00:02:00
1min,2017-12-24 00:20:00,14358.94,14401.72,14320.22,14356.29,4.36475857,valley,0 days 00:02:00
5min,2017-12-24 00:20:00,14358.94,14401.72,14320.22,14356.29,4.36475857,peak,0 days 00:13:00
5min,2017-12-24 00:22:00,14399.99,14401.72,14357.7,14390.0,4.53198228,peak,0 days 00:11:00
15min,2017-12-24 00:25:00,14351.0,14351.0,14149.88,14299.56,33.32092852,valley,0 days 00:15:00
1min,2017-12-24 00:27:00,14333.38,14399.97,14311.36,14349.48,13.09718605,peak,0 days 00:03:00
1min,2017-12-24 00:29:00,14200.0,14361.36,14160.0,14297.64,25.35606421,peak,0 days 00:02:00
1min,2017-12-24 00:29:00,14200.0,14361.36,14160.0,14297.64,25.35606421,valley,0 days 00:04:00
1min,2017-12-24 00:33:00,14400.05,14500.0,14351.51,14410.42,41.56018079,peak,0 days 00:02:00
1min,2017-12-24 00:35:00,14357.3,14500.03,14334.37,14500.03,9.62343726,valley,0 days 00:03:00
5min,2017-12-24 00:37:00,14502.02,14561.15,14488.47,14502.02,4.62288354,peak,0 days 00:12:00
1min,2017-12-24 00:38:00,14488.47,14503.36,14450.0,14477.35,7.43652433,valley,0 days 00:03:00
1min,2017-12-24 00:40:00,14533.29,14559.54,14481.95,14506.13,3.66636669,peak,0 days 00:03:00
5min,2017-12-24 00:43:00,14476.01,14476.13,14374.63,14406.2,0.7908394,valley,0 days 00:08:00
1min,2017-12-24 00:44:00,14429.0,14500.0,14429.0,14500.0,2.10731397,peak,0 days 00:02:00
1min,2017-12-24 00:46:00,14481.61,14534.35,14450.26,14534.35,5.0323538,valley,0 days 00:02:00
1min,2017-12-24 00:49:00,14540.0,14582.64,14524.16,14582.64,8.41162346,valley,0 days 00:02:00
15min,2017-12-24 00:52:00,14582.6,14619.1,14557.06,14600.0,2.61747194,peak,0 days 00:52:00
5min,2017-12-24 00:55:00,14470.22,14567.8,14427.29,14464.18,10.63963118,valley,0 days 00:06:00
1min,2017-12-24 00:57:00,14496.64,14500.0,14428.0,14500.0,4.99982599,valley,0 days 00:02:00
1min,2017-12-24 00:59:00,14566.87,14567.07,14504.99,14531.52,2.33084152,peak,0 days 00:04:00
1min,2017-12-24 01:02:00,14400.0,14425.43,14366.38,14416.86,3.27886373,valley,0 days 00:02:00
1min,2017-12-24 01:06:00,14420.98,14420.98,14321.38,14407.95,2.54122297,valley,0 days 00:02:00
15min,2017-12-24 01:08:00,14418.99,14420.96,14315.32,14357.27,7.94537812,valley,0 days 00:18:00
1min,2017-12-24 01:08:00,14418.99,14420.96,14315.32,14357.27,7.94537812,peak,0 days 00:02:00
1min,2017-12-24 01:10:00,14399.99,14400.0,14329.38,14400.0,2.72944392,valley,0 days 00:02:00
1min,2017-12-24 01:16:00,14488.88,14521.32,14402.32,14521.32,34.47631895,valley,0 days 00:02:00
15min,2017-12-24 01:17:00,14521.32,14557.38,14458.0,14532.13,27.4221357,peak,0 days 00:18:00
1min,2017-12-24 01:20:00,14505.69,14547.23,14477.33,14531.45,0.6301112,valley,0 days 00:03:00
5min,2017-12-24 01:22:00,14550.0,14557.06,14479.38,14479.38,4.843947,peak,0 days 00:05:00
1min,2017-12-24 01:23:00,14493.25,14493.25,14411.63,14444.0,2.75299613,valley,0 days 00:02:00
1min,2017-12-24 01:26:00,14450.9,14451.96,14310.68,14350.0,6.3589847,peak,0 days 00:03:00
5min,2017-12-24 01:28:00,14302.0,14303.0,14152.19,14187.58,77.37745573,valley,0 days 00:06:00
1min,2017-12-24 01:31:00,14265.49,14283.53,14187.7,14278.27,10.0553709,peak,0 days 00:03:00
