timeframe,date,original_start,open,close,high,low,volume,peak_or_valley,strength,permanent_strength,atr,return_end_time,movement_start_time,return_end_value,movement_start_value,target,timeframe_timedelta,major_timeframe,is_resistance,level,internal_margin,external_margin,ttl,hit,boundary_of_hit_end_0,hit_end_0,boundary_of_hit_start_1,boundary_of_hit_end_1,hit_start_1,hit_end_1,boundary_of_hit_start_2,left_more_significant_top,left_more_significant_top_value,right_more_significant_top,right_more_significant_top_value,deactivated_at,passing_time,boundary_of_hit_end_2,hit_start_2,hit_end_2,archived_at,master_pivot_timeframe,master_pivot_date
4h,2023-11-16 19:40:00+00:00,2023-11-16 19:40:00+00:00,35516.7,35611.7,35611.7,35499.5,11.40572679,valley,102000.0,False,653.4047181621064,2023-11-16 22:18:00+00:00,2023-11-16 11:42:00+00:00,36179.0,37460.2,35499.5,0 days 04:00:00,True,False,35499.5,35916.7,34846.095281837894,2024-02-10 03:40:00+00:00,2,2023-11-17 00:00:00+00:00,2023-11-17 04:00:00+00:00,2023-11-17 08:00:00+00:00,2023-11-17 16:00:00+00:00,2023-11-17 12:00:00+00:00,2023-11-17 20:00:00+00:00,2023-11-18 00:00:00+00:00,,,,,,,,,,,,
1h,2023-11-16 14:30:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,302.8500395782218,2023-11-16 14:47:00+00:00,2023-11-16 11:49:00+00:00,36767.0,37373.6,36437.1,0 days 01:00:00,True,False,36437.1,36707.7,36134.249960421774,2023-12-07 22:30:00+00:00,0,2023-11-16 15:00:00+00:00,,,,,,,,,2023-11-16 15:55:00+00:00,36256.7,2023-11-16 20:00:00+00:00,2023-11-16 20:00:00+00:00,,,,,,
1h,2023-11-16 15:55:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,327.8536081797775,2023-11-16 16:20:00+00:00,2023-11-16 12:35:00+00:00,36622.0,37249.9,36256.7,0 days 01:00:00,True,False,36256.7,36405.3,35928.84639182022,2023-12-07 23:55:00+00:00,0,2023-11-16 17:00:00+00:00,2023-11-17 23:00:00+00:00,2023-11-18 00:00:00+00:00,,,,,,,2023-11-16 18:24:00+00:00,36080.0,,,,,,,,
1h,2023-11-16 19:40:00+00:00,2023-11-16 19:40:00+00:00,35516.7,35611.7,35611.7,35499.5,11.40572679,valley,102000.0,False,354.416443753192,2023-11-16 19:46:00+00:00,2023-11-16 17:38:00+00:00,35862.3,36568.5,35499.5,0 days 01:00:00,False,False,35499.5,35916.7,35145.083556246806,2023-12-08 03:40:00+00:00,2,2023-11-16 20:00:00+00:00,2023-11-16 22:00:00+00:00,2023-11-16 23:00:00+00:00,2023-11-17 15:00:00+00:00,2023-11-17 14:00:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 18:00:00+00:00,,,,,,,,,,,,
1h,2023-11-16 20:00:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,302.8500395782218,2023-11-16 20:00:00+00:00,2023-11-16 11:49:00+00:00,36767.0,37373.6,36437.1,0 days 01:00:00,True,True,36437.1,36134.249960421774,36707.7,2023-12-07 22:30:00+00:00,0,2023-11-16 21:00:00+00:00,,,,,,,,,2023-11-16 15:55:00+00:00,36256.7,,,,,,,,
1h,2023-11-17 02:30:00+00:00,2023-11-17 02:30:00+00:00,36633.1,36615.6,36665.2,36612.7,4.49698162,peak,38880.0,True,342.816645965966,2023-11-17 03:20:00+00:00,2023-11-16 19:41:00+00:00,36318.9,35603.8,36665.2,0 days 01:00:00,True,True,36665.2,36558.9,37008.01664596597,2023-12-08 10:30:00+00:00,3,2023-11-17 04:00:00+00:00,2023-11-17 05:00:00+00:00,2023-11-17 06:00:00+00:00,2023-11-17 14:00:00+00:00,2023-11-17 13:00:00+00:00,2023-11-17 15:00:00+00:00,2023-11-17 16:00:00+00:00,2023-11-16 15:32:00+00:00,36909.6,2023-11-17 17:03:00+00:00,36789.7,2023-11-17 20:00:00+00:00,,2023-11-17 18:00:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 20:00:00+00:00,,,
1h,2023-11-17 17:03:00+00:00,2023-11-17 17:03:00+00:00,36308.0,36564.1,36789.7,36308.0,147.72614268,peak,25020.0,False,332.9710999885991,2023-11-17 17:04:00+00:00,2023-11-16 20:28:00+00:00,36377.7,35787.5,36789.7,0 days 01:00:00,True,True,36789.7,36499.0,37122.6710999886,2023-12-09 01:03:00+00:00,0,2023-11-17 18:00:00+00:00,,,,,,,2023-11-16 15:32:00+00:00,36909.6,,,,,,,,,,
15min,2023-11-16 02:02:00+00:00,2023-11-16 02:02:00+00:00,37391.1,37371.0,37391.1,37340.1,4.33833247,valley,8640.0,True,161.71839728220385,2023-11-16 02:16:00+00:00,2023-11-16 00:55:00+00:00,37506.7,37825.9,37340.1,0 days 00:15:00,True,False,37340.1,37421.8,37178.381602717796,2023-11-21 10:02:00+00:00,3,2023-11-16 02:30:00+00:00,2023-11-16 02:45:00+00:00,2023-11-16 03:00:00+00:00,2023-11-16 03:30:00+00:00,2023-11-16 03:15:00+00:00,2023-11-16 04:45:00+00:00,2023-11-16 05:00:00+00:00,,,2023-11-16 04:26:00+00:00,37325.0,2023-11-16 06:00:00+00:00,2023-11-16 13:00:00+00:00,2023-11-16 05:30:00+00:00,2023-11-16 05:15:00+00:00,2023-11-16 06:00:00+00:00,,,
15min,2023-11-16 04:26:00+00:00,2023-11-16 04:26:00+00:00,37343.4,37380.2,37380.2,37325.0,4.30290853,valley,14220.0,True,124.80475852748025,2023-11-16 04:32:00+00:00,2023-11-16 01:26:00+00:00,37456.1,37707.3,37325.0,0 days 00:15:00,True,False,37325.0,37365.5,37200.19524147252,2023-11-21 12:26:00+00:00,2,2023-11-16 04:45:00+00:00,2023-11-16 05:45:00+00:00,2023-11-16 06:00:00+00:00,2023-11-16 08:30:00+00:00,2023-11-16 08:15:00+00:00,2023-11-16 11:15:00+00:00,2023-11-16 11:30:00+00:00,,,2023-11-16 08:27:00+00:00,37203.0,2023-11-16 13:00:00+00:00,2023-11-16 13:00:00+00:00,2023-11-16 12:00:00+00:00,2023-11-16 11:45:00+00:00,,,,
15min,2023-11-16 08:27:00+00:00,2023-11-16 08:27:00+00:00,37265.0,37221.0,37275.9,37203.0,15.42611185,valley,2460.0,True,101.2511208193453,2023-11-16 08:34:00+00:00,2023-11-16 07:48:00+00:00,37311.4,37509.7,37203.0,0 days 00:15:00,True,False,37203.0,37287.1,37101.74887918065,2023-11-21 16:27:00+00:00,3,2023-11-16 08:45:00+00:00,2023-11-16 09:15:00+00:00,2023-11-16 09:30:00+00:00,2023-11-16 10:00:00+00:00,2023-11-16 09:45:00+00:00,2023-11-16 10:15:00+00:00,2023-11-16 10:30:00+00:00,,,2023-11-16 09:08:00+00:00,37187.9,2023-11-16 11:30:00+00:00,2023-11-16 13:15:00+00:00,2023-11-16 11:15:00+00:00,2023-11-16 11:00:00+00:00,2023-11-16 11:30:00+00:00,,,
