timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
1H,2023-07-10 20:07:00,31044.5,30890.6,31074.25516691912,2023-07-10 20:07:00,2023-07-16 04:07:00,,,0,
1H,2023-07-10 22:03:00,30189.3,30291.2,30139.124351581595,2023-07-10 22:03:00,2023-07-16 06:03:00,,,0,
1H,2023-07-11 06:51:00,30654.0,30634.4,30664.585456676657,2023-07-11 06:51:00,2023-07-16 14:51:00,,,0,
1H,2023-07-11 13:43:00,30304.1,30374.0,30300.321806507334,2023-07-11 13:43:00,2023-07-16 21:43:00,,,0,
1H,2023-07-11 15:19:00,30813.3,30618.1,30831.742278198733,2023-07-11 15:19:00,2023-07-16 23:19:00,,,0,
1H,2023-07-12 12:31:00,30988.5,30801.7,31014.550385392682,2023-07-12 12:31:00,2023-07-17 20:31:00,,,0,
1H,2023-07-12 19:36:00,30214.4,30287.3,30188.97175126803,2023-07-12 19:36:00,2023-07-18 03:36:00,,,0,
4H,2023-07-13 19:32:00,31819.9,31611.0,31937.64822585459,2023-07-13 19:32:00,2023-08-04 03:32:00,,,0,
1H,2023-07-14 15:19:00,31356.0,31333.0,31372.545316984528,2023-07-14 15:19:00,2023-07-19 23:19:00,,,0,
4H,2023-07-14 19:05:00,29906.6,30085.4,29775.240745728428,2023-07-14 19:05:00,2023-08-05 03:05:00,,,0,
1H,2023-07-15 10:21:00,30371.4,30359.9,30372.694105963186,2023-07-15 10:21:00,2023-07-20 18:21:00,,,0,
1H,2023-07-15 15:05:00,30253.1,30282.5,30249.494787700503,2023-07-15 15:05:00,2023-07-20 23:05:00,,,0,
1H,2023-07-16 02:21:00,30062.2,30116.0,30052.298324710002,2023-07-16 02:21:00,2023-07-21 10:21:00,,,0,
1H,2023-07-16 14:43:00,30433.8,30405.2,30452.2408367378,2023-07-16 14:43:00,2023-07-21 22:43:00,,,0,
1H,2023-07-16 23:31:00,30122.1,30211.9,30109.333682775894,2023-07-16 23:31:00,2023-07-22 07:31:00,,,0,
1H,2023-07-17 18:49:00,29656.0,29800.0,29619.489734931114,2023-07-17 18:49:00,2023-07-23 02:49:00,,,0,
4H,2023-07-18 16:48:00,29541.0,29699.9,29496.224764887087,2023-07-18 16:48:00,2023-08-09 00:48:00,,,0,
1H,2023-07-19 04:34:00,30184.0,30137.3,30199.6990418753,2023-07-19 04:34:00,2023-07-24 12:34:00,,,0,
1H,2023-07-19 13:46:00,30127.7,30040.1,30146.68634682612,2023-07-19 13:46:00,2023-07-24 21:46:00,,,0,
1H,2023-07-19 15:02:00,29762.0,29825.5,29743.33950784324,2023-07-19 15:02:00,2023-07-24 23:02:00,,,0,
4H,2023-07-20 10:11:00,30415.1,30325.1,30449.965272949623,2023-07-20 10:11:00,2023-08-10 18:11:00,,,0,
4H,2023-07-20 18:29:00,29571.2,29691.1,29530.414042776225,2023-07-20 18:29:00,2023-08-11 02:29:00,,,0,
1H,2023-07-21 02:27:00,29957.1,29935.6,29969.82530669819,2023-07-21 02:27:00,2023-07-26 10:27:00,,,0,
1H,2023-07-21 11:24:00,29731.4,29756.4,29728.281071369187,2023-07-21 11:24:00,2023-07-26 19:24:00,,,0,
1H,2023-07-21 18:40:00,30059.6,30007.7,30073.279447785582,2023-07-21 18:40:00,2023-07-27 02:40:00,,,0,
1H,2023-07-22 23:18:00,29630.0,29697.2,29628.096318922606,2023-07-22 23:18:00,2023-07-28 07:18:00,,,0,
1H,2023-07-23 05:21:00,29979.0,29967.5,29984.891755741457,2023-07-23 05:21:00,2023-07-28 13:21:00,,,0,
1H,2023-07-23 13:31:00,29854.6,29867.7,29849.355670245426,2023-07-23 13:31:00,2023-07-28 21:31:00,,,0,
4H,2023-07-23 19:15:00,30349.8,30250.9,30385.931634192555,2023-07-23 19:15:00,2023-08-14 03:15:00,,,0,
4H,2023-07-24 15:11:00,28872.4,29047.3,28815.646660112827,2023-07-24 15:11:00,2023-08-14 23:11:00,,,0,
1H,2023-07-24 23:20:00,29205.7,29190.8,29207.470856303124,2023-07-24 23:20:00,2023-07-30 07:20:00,,,0,
1H,2023-07-25 13:04:00,29085.0,29110.7,29082.41229316515,2023-07-25 13:04:00,2023-07-30 21:04:00,,,0,
1H,2023-07-25 18:40:00,29372.7,29292.0,29379.028682260734,2023-07-25 18:40:00,2023-07-31 02:40:00,,,0,
1H,2023-07-26 01:36:00,29098.1,29145.3,29092.758066833074,2023-07-26 01:36:00,2023-07-31 09:36:00,,,0,
1H,2023-07-26 03:10:00,29405.1,29311.5,29414.541058213334,2023-07-26 03:10:00,2023-07-31 11:10:00,,,0,
1H,2023-07-26 11:56:00,29162.5,29173.1,29161.256225070952,2023-07-26 11:56:00,2023-07-31 19:56:00,,,0,
4H,2023-07-26 20:55:00,29678.2,29577.1,29727.526136222034,2023-07-26 20:55:00,2023-08-17 04:55:00,,,0,
1H,2023-07-27 09:55:00,29568.9,29543.8,29574.138999090985,2023-07-27 09:55:00,2023-08-01 17:55:00,,,0,
4H,2023-07-27 18:40:00,29088.0,29142.5,29060.30058608342,2023-07-27 18:40:00,2023-08-18 02:40:00,,,0,
1H,2023-07-28 09:09:00,29131.0,29151.9,29126.97160795888,2023-07-28 09:09:00,2023-08-02 17:09:00,,,0,
1H,2023-07-28 15:11:00,29539.0,29490.9,29554.198763047207,2023-07-28 15:11:00,2023-08-02 23:11:00,,,0,
1H,2023-07-29 02:05:00,29390.0,29375.6,29392.839619633254,2023-07-29 02:05:00,2023-08-03 10:05:00,,,0,
1H,2023-07-29 08:51:00,29254.2,29299.1,29252.67541515222,2023-07-29 08:51:00,2023-08-03 16:51:00,,,0,
1H,2023-07-29 20:25:00,29376.6,29369.9,29378.52565683743,2023-07-29 20:25:00,2023-08-04 04:25:00,,,0,
1H,2023-07-30 10:54:00,29230.5,29273.1,29229.77028377711,2023-07-30 10:54:00,2023-08-04 18:54:00,,,0,
1H,2023-07-30 15:03:00,29449.4,29395.5,29458.698079242808,2023-07-30 15:03:00,2023-08-04 23:03:00,,,0,
1H,2023-07-30 20:02:00,29026.7,29147.6,29003.460520174664,2023-07-30 20:02:00,2023-08-05 04:02:00,,,0,
1H,2023-07-31 00:48:00,29531.0,29499.8,29552.20897771587,2023-07-31 00:48:00,2023-08-05 08:48:00,,,0,
1H,2023-07-31 12:58:00,29470.0,29463.315021870607,29476.684978129393,2023-07-31 12:58:00,2023-08-05 20:58:00,,,0,
1H,2023-08-01 01:11:00,29348.0,29333.9,29351.09170224733,2023-08-01 01:11:00,2023-08-06 09:11:00,,,0,
1H,2023-08-01 02:10:00,28730.0,28931.5,28721.572555973496,2023-08-01 02:10:00,2023-08-06 10:10:00,,,0,
1D,2023-08-01 15:30:00,28584.0,28861.3,28553.90883969253,2023-08-01 15:30:00,2023-10-25 23:30:00,,,0,
4H,2023-08-02 01:33:00,30042.6,29840.3,30101.971463013044,2023-08-02 01:33:00,2023-08-23 09:33:00,,,0,
1H,2023-08-02 16:56:00,28928.0,29025.9,28915.743447288212,2023-08-02 16:56:00,2023-08-08 00:56:00,,,0,
1H,2023-08-03 01:48:00,29275.6,29250.3,29281.189042733135,2023-08-03 01:48:00,2023-08-08 09:48:00,,,0,
1H,2023-08-03 08:26:00,28970.0,29069.2,28964.743828466737,2023-08-03 08:26:00,2023-08-08 16:26:00,,,0,
