timeframe,date,bull_bear_side,end,internal_high,high_time,internal_low,low_time,movement,atr,movement_start_value,movement_end_value,movement_start_time,movement_end_time
1min,2023-11-16 00:01:00+00:00,BULLISH_TREND,2023-11-16 00:07:00+00:00,37925.4,2023-11-16 00:06:00+00:00,37806.2,2023-11-16 00:04:00+00:00,119.20000000000437,40.469682340816114,37813.0,37925.4,2023-11-16 00:02:00+00:00,2023-11-16 00:06:00+00:00
5min,2023-11-16 00:05:00+00:00,BEARISH_TREND,2023-11-16 00:35:00+00:00,37925.4,2023-11-16 00:05:00+00:00,37340.1,2023-11-16 00:25:00+00:00,585.3000000000029,90.33475323078487,37895.6,37340.1,2023-11-16 00:18:00+00:00,2023-11-16 02:02:00+00:00
1min,2023-11-16 00:07:00+00:00,BEARISH_TREND,2023-11-16 00:14:00+00:00,37925.4,2023-11-16 00:07:00+00:00,37753.0,2023-11-16 00:13:00+00:00,172.40000000000146,41.48281950346931,37925.4,37753.0,2023-11-16 00:06:00+00:00,2023-11-16 00:13:00+00:00
1min,2023-11-16 00:14:00+00:00,SIDE_TREND,2023-11-16 00:23:00+00:00,37895.6,2023-11-16 00:18:00+00:00,37762.2,2023-11-16 00:22:00+00:00,133.40000000000146,40.47004267851307,,,,
15min,2023-11-16 00:15:00+00:00,BEARISH_TREND,2023-11-16 04:30:00+00:00,37895.6,2023-11-16 00:15:00+00:00,37325.0,2023-11-16 04:15:00+00:00,570.5999999999985,151.32176200068037,37880.8,37325.0,2023-11-16 00:49:00+00:00,2023-11-16 04:26:00+00:00
1min,2023-11-16 00:23:00+00:00,BEARISH_TREND,2023-11-16 00:26:00+00:00,37925.4,2023-11-16 00:24:00+00:00,37730.6,2023-11-16 00:25:00+00:00,194.8000000000029,38.44564722069197,37925.4,37730.6,2023-11-16 00:06:00+00:00,2023-11-16 00:29:00+00:00
1min,2023-11-16 00:26:00+00:00,SIDE_TREND,2023-11-16 00:29:00+00:00,37773.8,2023-11-16 00:26:00+00:00,37733.9,2023-11-16 00:27:00+00:00,39.900000000001455,35.9969583128744,,,,
1min,2023-11-16 00:29:00+00:00,BULLISH_TREND,2023-11-16 00:32:00+00:00,37808.9,2023-11-16 00:31:00+00:00,37730.6,2023-11-16 00:29:00+00:00,78.30000000000291,35.17007437319658,37730.6,37808.9,2023-11-16 00:29:00+00:00,2023-11-16 00:31:00+00:00
1min,2023-11-16 00:32:00+00:00,BEARISH_TREND,2023-11-16 00:38:00+00:00,37808.9,2023-11-16 00:33:00+00:00,37678.0,2023-11-16 00:36:00+00:00,130.90000000000146,33.47085679687018,37808.9,37678.0,2023-11-16 00:31:00+00:00,2023-11-16 00:42:00+00:00
5min,2023-11-16 00:35:00+00:00,SIDE_TREND,2023-11-16 00:50:00+00:00,37880.8,2023-11-16 00:45:00+00:00,37678.0,2023-11-16 00:40:00+00:00,202.8000000000029,84.22956927563543,,,,
1min,2023-11-16 00:38:00+00:00,SIDE_TREND,2023-11-16 00:43:00+00:00,37731.3,2023-11-16 00:38:00+00:00,37678.0,2023-11-16 00:42:00+00:00,53.30000000000291,29.121657827693905,,,,
1min,2023-11-16 00:43:00+00:00,BULLISH_TREND,2023-11-16 00:49:00+00:00,37862.3,2023-11-16 00:48:00+00:00,37678.0,2023-11-16 00:43:00+00:00,184.3000000000029,30.269082930447198,37678.0,37862.3,2023-11-16 00:42:00+00:00,2023-11-16 00:49:00+00:00
1min,2023-11-16 00:49:00+00:00,SIDE_TREND,2023-11-16 00:50:00+00:00,37880.8,2023-11-16 00:49:00+00:00,37847.1,2023-11-16 00:49:00+00:00,33.700000000004366,33.7449652454885,,,,
1min,2023-11-16 00:50:00+00:00,BEARISH_TREND,2023-11-16 01:08:00+00:00,37880.8,2023-11-16 00:50:00+00:00,37702.0,2023-11-16 01:07:00+00:00,178.8000000000029,32.40016313126042,37880.8,37702.0,2023-11-16 00:49:00+00:00,2023-11-16 01:07:00+00:00
5min,2023-11-16 00:50:00+00:00,BEARISH_TREND,2023-11-16 02:05:00+00:00,37880.8,2023-11-16 00:50:00+00:00,37340.1,2023-11-16 02:00:00+00:00,540.7000000000044,83.63486901724876,37880.8,37340.1,2023-11-16 00:49:00+00:00,2023-11-16 02:02:00+00:00
1h,2023-11-16 01:00:00+00:00,BEARISH_TREND,2023-11-16 20:00:00+00:00,37767.9,2023-11-16 01:00:00+00:00,35499.5,2023-11-16 19:00:00+00:00,2268.4000000000015,309.4722671174648,37616.3,35499.5,2023-11-16 07:04:00+00:00,2023-11-16 19:40:00+00:00
1min,2023-11-16 01:08:00+00:00,SIDE_TREND,2023-11-16 01:12:00+00:00,37754.4,2023-11-16 01:10:00+00:00,37708.8,2023-11-16 01:08:00+00:00,45.599999999998545,28.47265842729206,,,,
1min,2023-11-16 01:12:00+00:00,BEARISH_TREND,2023-11-16 01:20:00+00:00,37754.7,2023-11-16 01:12:00+00:00,37576.2,2023-11-16 01:19:00+00:00,178.5,27.926420808567272,37754.7,37576.2,2023-11-16 01:12:00+00:00,2023-11-16 01:19:00+00:00
1min,2023-11-16 01:20:00+00:00,SIDE_TREND,2023-11-16 01:21:00+00:00,37723.8,2023-11-16 01:20:00+00:00,37649.0,2023-11-16 01:20:00+00:00,74.80000000000291,37.40568654649743,,,,
1min,2023-11-16 01:21:00+00:00,BULLISH_TREND,2023-11-16 01:24:00+00:00,37746.5,2023-11-16 01:23:00+00:00,37576.2,2023-11-16 01:21:00+00:00,170.3000000000029,35.764703235196755,37576.2,37746.5,2023-11-16 01:19:00+00:00,2023-11-16 01:24:00+00:00
1min,2023-11-16 01:24:00+00:00,SIDE_TREND,2023-11-16 01:29:00+00:00,37747.7,2023-11-16 01:24:00+00:00,37599.1,2023-11-16 01:28:00+00:00,148.59999999999854,34.65008048662345,,,,
1min,2023-11-16 01:29:00+00:00,BEARISH_TREND,2023-11-16 01:32:00+00:00,37747.7,2023-11-16 01:30:00+00:00,37560.0,2023-11-16 01:31:00+00:00,187.6999999999971,34.1352877663109,37747.7,37560.0,2023-11-16 01:24:00+00:00,2023-11-16 01:33:00+00:00
1min,2023-11-16 01:32:00+00:00,SIDE_TREND,2023-11-16 01:34:00+00:00,37618.6,2023-11-16 01:32:00+00:00,37560.0,2023-11-16 01:33:00+00:00,58.599999999998545,34.559530206644,,,,
1min,2023-11-16 01:34:00+00:00,BULLISH_TREND,2023-11-16 01:36:00+00:00,37623.0,2023-11-16 01:35:00+00:00,37560.0,2023-11-16 01:34:00+00:00,63.0,33.11357451491243,37560.0,37623.0,2023-11-16 01:33:00+00:00,2023-11-16 01:36:00+00:00
