timeframe,date,open,close,high,low,volume
15min,2023-08-09 20:30:00,29485.49,29495.0,29495.0,29463.22,114.59227
15min,2023-08-09 20:45:00,29494.99,29500.33,29513.81,29484.93,304.83489
15min,2023-08-09 21:00:00,29500.33,29440.32,29507.7,29440.0,582.5881
15min,2023-08-09 21:15:00,29440.32,29530.0,29530.0,29440.32,696.92966
15min,2023-08-09 21:30:00,29530.0,29526.02,29530.0,29505.94,617.03886
15min,2023-08-09 21:45:00,29526.01,29526.89,29559.9,29493.57,1100.56557
15min,2023-08-09 22:00:00,29526.88,29557.25,29560.0,29516.98,1045.04193
15min,2023-08-09 22:15:00,29557.25,29582.09,29582.1,29557.24,782.01478
15min,2023-08-09 22:30:00,29582.09,29564.31,29583.13,29563.28,1023.40851
15min,2023-08-09 22:45:00,29564.31,29601.91,29601.92,29564.31,872.26344
15min,2023-08-09 23:00:00,29601.92,29622.78,29626.0,29590.32,1773.0126
15min,2023-08-09 23:15:00,29622.78,29619.4,29622.79,29585.0,1806.5778599999999
15min,2023-08-09 23:30:00,29619.41,29607.4,29623.62,29604.56,1466.4814
15min,2023-08-09 23:45:00,29607.41,29581.99,29607.41,29566.49,1939.56629
15min,2023-08-10 00:00:00,29581.99,29592.34,29612.91,29570.01,1901.63102
15min,2023-08-10 00:15:00,29592.35,29625.99,29629.47,29590.0,2217.56513
15min,2023-08-10 00:30:00,29625.99,29603.94,29639.99,29603.93,1944.5594899999999
15min,2023-08-10 00:45:00,29603.93,29620.0,29620.0,29566.67,2360.60018
15min,2023-08-10 01:00:00,29620.0,29606.01,29629.79,29606.0,1780.54429
15min,2023-08-10 01:15:00,29606.0,29608.41,29608.41,29576.97,3685.9170599999998
15min,2023-08-10 01:30:00,29608.4,29652.87,29652.87,29604.74,3719.95661
15min,2023-08-10 01:45:00,29652.86,29608.68,29660.06,29579.04,5764.00075
15min,2023-08-10 02:00:00,29608.67,29640.0,29644.33,29600.0,3884.971
15min,2023-08-10 02:15:00,29640.0,29620.0,29642.44,29605.45,3662.89885
15min,2023-08-10 02:30:00,29620.0,29624.17,29624.76,29610.0,3376.99634
15min,2023-08-10 02:45:00,29624.17,29582.3,29634.01,29582.3,4297.67134
15min,2023-08-10 03:00:00,29582.3,29596.05,29598.7,29571.73,7314.05872
15min,2023-08-10 03:15:00,29596.06,29595.43,29620.0,29593.28,8398.96514
15min,2023-08-10 03:30:00,29595.42,29587.21,29595.43,29566.66,8328.90883
15min,2023-08-10 03:45:00,29587.21,29582.63,29587.55,29581.44,2118.29958
15min,2023-08-10 04:00:00,29582.63,29562.12,29582.63,29550.34,6104.00112
15min,2023-08-10 04:15:00,29562.12,29544.73,29562.12,29540.7,4306.48587
15min,2023-08-10 04:30:00,29544.73,29557.57,29557.57,29536.1,7542.56852
15min,2023-08-10 04:45:00,29557.56,29542.05,29564.99,29542.02,8053.9303199999995
15min,2023-08-10 05:00:00,29542.04,29524.0,29542.67,29518.0,6799.83686
15min,2023-08-10 05:15:00,29524.0,29518.0,29524.0,29510.44,7234.47553
15min,2023-08-10 05:30:00,29518.0,29534.51,29537.65,29515.5,5313.50177
15min,2023-08-10 05:45:00,29534.51,29585.84,29616.98,29534.5,13533.749749999999
15min,2023-08-10 06:00:00,29585.85,29571.99,29609.68,29570.71,6461.71997
15min,2023-08-10 06:15:00,29571.99,29540.06,29575.67,29527.33,9166.47696
15min,2023-08-10 06:30:00,29540.06,29534.36,29554.12,29534.35,5523.8742999999995
15min,2023-08-10 06:45:00,29534.36,29517.33,29534.36,29513.43,7808.27428
15min,2023-08-10 07:00:00,29517.33,29548.0,29548.0,29517.33,4933.04509
15min,2023-08-10 07:15:00,29548.0,29564.42,29567.69,29547.99,7747.08601
15min,2023-08-10 07:30:00,29564.43,29515.0,29565.84,29514.67,7568.7617900000005
15min,2023-08-10 07:45:00,29515.0,29512.0,29515.0,29491.11,14111.16004
15min,2023-08-10 08:00:00,29511.99,29514.27,29534.88,29509.16,15227.5429
15min,2023-08-10 08:15:00,29514.28,29514.0,29514.28,29492.58,8656.1856
15min,2023-08-10 08:30:00,29513.99,29507.09,29520.0,29507.08,7029.6358
15min,2023-08-10 08:45:00,29507.08,29519.2,29521.54,29505.19,9486.51176
15min,2023-08-10 09:00:00,29519.19,29511.82,29519.2,29511.81,2663.45552
15min,2023-08-10 09:15:00,29511.81,29491.5,29511.82,29485.0,8531.73156
15min,2023-08-10 09:30:00,29491.49,29536.41,29536.42,29476.0,14875.09672
15min,2023-08-10 09:45:00,29536.41,29534.16,29554.0,29522.93,13306.183
15min,2023-08-10 10:00:00,29534.15,29528.03,29548.71,29528.02,5998.2714
15min,2023-08-10 10:15:00,29528.02,29514.89,29528.03,29512.77,9933.6864
15min,2023-08-10 10:30:00,29514.89,29532.11,29536.0,29514.88,5569.7136
15min,2023-08-10 10:45:00,29532.11,29552.86,29559.98,29532.1,11531.42188
15min,2023-08-10 11:00:00,29552.86,29548.27,29557.31,29543.67,13622.8422
15min,2023-08-10 11:15:00,29548.26,29520.97,29548.27,29515.89,9290.77732
15min,2023-08-10 11:30:00,29520.97,29496.0,29520.97,29487.17,8634.2058
15min,2023-08-10 11:45:00,29496.0,29504.01,29515.27,29486.0,7139.29871
15min,2023-08-10 12:00:00,29504.01,29524.63,29524.63,29491.49,9928.27559
15min,2023-08-10 12:15:00,29524.62,29556.0,29568.06,29524.62,15908.61497
15min,2023-08-10 12:30:00,29555.99,29537.68,29635.29,29489.0,61223.225419999995
15min,2023-08-10 12:45:00,29537.67,29560.97,29597.77,29519.96,22427.30274
15min,2023-08-10 13:00:00,29560.97,29536.0,29566.8,29523.87,7899.14655
15min,2023-08-10 13:15:00,29536.0,29585.99,29586.0,29528.17,8277.8949
15min,2023-08-10 13:30:00,29585.99,29601.89,29658.39,29572.93,23448.4672
15min,2023-08-10 13:45:00,29601.89,29680.11,29692.85,29601.89,21043.2516
15min,2023-08-10 14:00:00,29680.1,29618.48,29738.0,29618.48,31065.20898
15min,2023-08-10 14:15:00,29618.49,29599.02,29639.7,29572.05,22080.94027
15min,2023-08-10 14:30:00,29599.03,29428.01,29623.54,29415.15,34977.44214
15min,2023-08-10 14:45:00,29428.0,29495.76,29509.18,29400.0,19972.873059999998
15min,2023-08-10 15:00:00,29495.76,29469.29,29513.92,29435.75,10752.88601
15min,2023-08-10 15:15:00,29469.28,29487.98,29487.99,29441.16,6548.53689
15min,2023-08-10 15:30:00,29487.99,29494.75,29531.25,29482.05,15607.066490000001
15min,2023-08-10 15:45:00,29494.75,29466.0,29494.75,29445.15,8253.29711
15min,2023-08-10 16:00:00,29465.99,29422.01,29471.84,29422.0,7903.96063
15min,2023-08-10 16:15:00,29422.01,29437.5,29446.38,29385.0,11193.63097
15min,2023-08-10 16:30:00,29437.5,29464.0,29464.0,29421.26,10727.9847
15min,2023-08-10 16:45:00,29464.0,29431.15,29478.07,29430.82,6611.78889
15min,2023-08-10 17:00:00,29431.16,29439.11,29446.0,29419.12,4849.4856
15min,2023-08-10 17:15:00,29439.11,29406.5,29439.11,29400.0,4932.42668
15min,2023-08-10 17:30:00,29406.5,29400.0,29462.0,29320.2,18026.14059
15min,2023-08-10 17:45:00,29400.01,29412.75,29444.94,29400.0,5367.3709
15min,2023-08-10 18:00:00,29412.74,29450.0,29452.0,29396.76,6470.52138
15min,2023-08-10 18:15:00,29449.99,29444.36,29475.24,29440.0,4285.85359
15min,2023-08-10 18:30:00,29444.35,29419.26,29444.36,29419.25,3023.91095
15min,2023-08-10 18:45:00,29419.26,29436.0,29442.91,29416.43,3881.65778
15min,2023-08-10 19:00:00,29436.0,29419.46,29437.49,29410.21,2484.84054
15min,2023-08-10 19:15:00,29419.46,29406.53,29420.0,29406.53,2344.6887699999997
15min,2023-08-10 19:30:00,29406.54,29427.3,29427.31,29384.89,2372.12748
15min,2023-08-10 19:45:00,29427.3,29444.52,29449.99,29427.3,2587.21239
15min,2023-08-10 20:00:00,29444.52,29482.27,29482.27,29444.52,3297.85283
15min,2023-08-10 20:15:00,29482.26,29470.9,29488.29,29460.0,3162.18336
15min,2023-08-10 20:30:00,29470.9,29435.55,29470.9,29435.54,1863.71876
15min,2023-08-10 20:45:00,29435.54,29453.45,29454.97,29422.71,1591.19402
15min,2023-08-10 21:00:00,29453.44,29451.53,29459.49,29451.53,921.10875
15min,2023-08-10 21:15:00,29451.54,29454.01,29454.02,29449.47,911.59536
15min,2023-08-10 21:30:00,29454.01,29464.81,29471.3,29454.01,1446.294
15min,2023-08-10 21:45:00,29464.8,29466.07,29466.11,29460.93,816.15132
15min,2023-08-10 22:00:00,29466.06,29446.73,29466.07,29446.72,933.18625
15min,2023-08-10 22:15:00,29446.72,29466.02,29466.02,29446.72,1363.64791
15min,2023-08-10 22:30:00,29466.02,29478.1,29481.89,29466.01,743.98076
15min,2023-08-10 22:45:00,29478.1,29465.01,29478.11,29465.0,677.03164
15min,2023-08-10 23:00:00,29465.01,29453.48,29465.01,29453.47,573.97232
15min,2023-08-10 23:15:00,29453.48,29466.71,29469.0,29450.0,422.96304
15min,2023-08-10 23:30:00,29466.7,29455.51,29466.71,29455.5,219.44527
15min,2023-08-10 23:45:00,29455.5,29455.75,29455.76,29454.33,211.16468
15min,2023-08-11 00:00:00,29455.76,29457.53,29457.53,29450.0,195.19764
15min,2023-08-11 00:15:00,29457.52,29486.79,29486.79,29457.52,248.9874
15min,2023-08-11 00:30:00,29486.79,29498.17,29498.17,29477.94,100.19861
15min,2023-08-11 00:45:00,29498.17,29483.28,29498.17,29483.28,33.029759999999996
1D,2023-08-09 00:00:00,29485.49,29581.99,29626.0,29440.0,14124.91616
1D,2023-08-10 00:00:00,29581.99,29455.75,29738.0,29320.2,774096.57471
1D,2023-08-11 00:00:00,29455.76,29483.28,29498.17,29450.0,577.41341
1H,2023-08-09 20:00:00,29485.49,29500.33,29513.81,29463.22,419.42716
1H,2023-08-09 21:00:00,29500.33,29526.89,29559.9,29440.0,2997.12219
1H,2023-08-09 22:00:00,29526.88,29601.91,29601.92,29516.98,3722.7286599999998
1H,2023-08-09 23:00:00,29601.92,29581.99,29626.0,29566.49,6985.63815
1H,2023-08-10 00:00:00,29581.99,29620.0,29639.99,29566.67,8424.35582
1H,2023-08-10 01:00:00,29620.0,29608.68,29660.06,29576.97,14950.41871
1H,2023-08-10 02:00:00,29608.67,29582.3,29644.33,29582.3,15222.53753
1H,2023-08-10 03:00:00,29582.3,29582.63,29620.0,29566.66,26160.23227
1H,2023-08-10 04:00:00,29582.63,29542.05,29582.63,29536.1,26006.98583
1H,2023-08-10 05:00:00,29542.04,29585.84,29616.98,29510.44,32881.56391
1H,2023-08-10 06:00:00,29585.85,29517.33,29609.68,29513.43,28960.34551
1H,2023-08-10 07:00:00,29517.33,29512.0,29567.69,29491.11,34360.05293
1H,2023-08-10 08:00:00,29511.99,29519.2,29534.88,29492.58,40399.87606
1H,2023-08-10 09:00:00,29519.19,29534.16,29554.0,29476.0,39376.4668
1H,2023-08-10 10:00:00,29534.15,29552.86,29559.98,29512.77,33033.09328
1H,2023-08-10 11:00:00,29552.86,29504.01,29557.31,29486.0,38687.12403
1H,2023-08-10 12:00:00,29504.01,29560.97,29635.29,29489.0,109487.41872
1H,2023-08-10 13:00:00,29560.97,29680.11,29692.85,29523.87,60668.76025
1H,2023-08-10 14:00:00,29680.1,29495.76,29738.0,29400.0,108096.46445
1H,2023-08-10 15:00:00,29495.76,29466.0,29531.25,29435.75,41161.7865
1H,2023-08-10 16:00:00,29465.99,29431.15,29478.07,29385.0,36437.36519
1H,2023-08-10 17:00:00,29431.16,29412.75,29462.0,29320.2,33175.42377
1H,2023-08-10 18:00:00,29412.74,29436.0,29475.24,29396.76,17661.9437
1H,2023-08-10 19:00:00,29436.0,29444.52,29449.99,29384.89,9788.86918
1H,2023-08-10 20:00:00,29444.52,29453.45,29488.29,29422.71,9914.94897
1H,2023-08-10 21:00:00,29453.44,29466.07,29471.3,29449.47,4095.14943
1H,2023-08-10 22:00:00,29466.06,29465.01,29481.89,29446.72,3717.84656
1H,2023-08-10 23:00:00,29465.01,29455.75,29469.0,29450.0,1427.54531
1H,2023-08-11 00:00:00,29455.76,29483.28,29498.17,29450.0,577.41341
1W,2023-08-13 00:00:00,29485.49,29483.28,29738.0,29320.2,788798.90428
1min,2023-08-09 20:30:00,29485.49,29477.05,29485.49,29477.04,13.96893
1min,2023-08-09 20:31:00,29477.05,29476.01,29477.05,29476.0,6.75918
1min,2023-08-09 20:32:00,29476.0,29470.0,29476.01,29463.22,19.85802
1min,2023-08-09 20:33:00,29469.99,29475.94,29475.95,29469.99,5.2581
1min,2023-08-09 20:34:00,29475.94,29475.94,29475.95,29475.94,3.93217
1min,2023-08-09 20:35:00,29475.95,29475.95,29475.95,29475.94,2.2862
1min,2023-08-09 20:36:00,29475.94,29475.94,29475.95,29475.94,2.40054
1min,2023-08-09 20:37:00,29475.95,29475.95,29475.95,29475.94,2.2532
1min,2023-08-09 20:38:00,29475.95,29481.11,29481.12,29475.94,7.15943
1min,2023-08-09 20:39:00,29481.12,29485.99,29486.0,29481.11,6.71962
