timeframe,date,open,close,high,low,volume
15min,2023-10-23 00:00:00,29989.5,29969.8,29995.9,29918.3,17.83897291
1D,2023-10-23 00:00:00,29989.5,33071.9,34900.0,29885.0,6561.66757467
1H,2023-10-23 00:00:00,29989.5,30118.6,30150.0,29885.0,107.47245133
1W,2023-10-23 00:00:00,29989.5,33071.9,34900.0,29885.0,6561.66757467
1min,2023-10-23 00:00:00,29989.5,29980.4,29995.9,29980.3,1.73818238
4H,2023-10-23 00:00:00,29989.5,30739.9,30796.9,29885.0,750.97078048
5min,2023-10-23 00:00:00,29989.5,29955.2,29995.9,29918.3,13.32643852
1min,2023-10-23 00:01:00,29980.4,29958.7,29980.4,29958.7,0.96232119
1min,2023-10-23 00:02:00,29958.7,29948.1,29959.9,29943.8,1.14024713
1min,2023-10-23 00:03:00,29948.1,29943.6,29948.1,29918.3,8.71936027
1min,2023-10-23 00:04:00,29943.6,29955.2,29957.1,29943.6,0.76632755
1min,2023-10-23 00:05:00,29955.2,29965.0,29965.0,29955.2,0.26140445
5min,2023-10-23 00:05:00,29955.2,29954.4,29974.5,29936.3,1.8191868
1min,2023-10-23 00:06:00,29965.0,29965.0,29965.0,29964.9,0.00359722
1min,2023-10-23 00:07:00,29965.0,29960.8,29974.5,29960.7,0.59224659
1min,2023-10-23 00:08:00,29960.7,29939.5,29960.7,29936.3,0.59921036
1min,2023-10-23 00:09:00,29939.5,29954.4,29954.5,29939.5,0.36272818
1min,2023-10-23 00:10:00,29954.5,29974.1,29977.8,29954.5,0.95507109
5min,2023-10-23 00:10:00,29954.5,29969.8,29983.3,29954.5,2.69334759
1min,2023-10-23 00:11:00,29972.5,29979.7,29983.3,29970.8,0.61167351
1min,2023-10-23 00:12:00,29979.6,29957.2,29979.6,29957.2,0.83657727
1min,2023-10-23 00:13:00,29957.2,29960.1,29960.1,29957.2,0.05504562
1min,2023-10-23 00:14:00,29960.0,29969.8,29969.8,29960.0,0.2349801
15min,2023-10-23 00:15:00,29971.4,29912.0,29974.7,29885.0,11.01511195
1min,2023-10-23 00:15:00,29971.4,29968.9,29974.7,29964.2,0.23884921
5min,2023-10-23 00:15:00,29971.4,29963.3,29974.7,29950.0,1.80170338
1min,2023-10-23 00:16:00,29968.8,29970.6,29970.7,29963.0,0.36654233
1min,2023-10-23 00:17:00,29967.5,29951.7,29967.5,29951.6,0.8249363
1min,2023-10-23 00:18:00,29951.6,29956.9,29957.0,29950.0,0.21440765
1min,2023-10-23 00:19:00,29957.0,29963.3,29963.3,29956.9,0.15696789
1min,2023-10-23 00:20:00,29963.3,29957.8,29968.0,29957.8,0.60874434
5min,2023-10-23 00:20:00,29963.3,29892.0,29968.0,29889.0,5.38413041
1min,2023-10-23 00:21:00,29957.8,29939.3,29957.8,29939.3,1.14327726
1min,2023-10-23 00:22:00,29939.3,29921.4,29939.3,29921.4,0.77376831
1min,2023-10-23 00:23:00,29921.6,29902.3,29929.6,29901.8,2.04807701
1min,2023-10-23 00:24:00,29902.3,29892.0,29902.3,29889.0,0.81026349
1min,2023-10-23 00:25:00,29892.1,29892.1,29892.1,29885.0,0.75374583
5min,2023-10-23 00:25:00,29892.1,29912.0,29912.1,29885.0,3.8292781600000003
1min,2023-10-23 00:26:00,29891.9,29890.7,29893.9,29890.6,0.36441769
1min,2023-10-23 00:27:00,29890.7,29900.0,29900.0,29890.7,0.83417436
1min,2023-10-23 00:28:00,29899.9,29895.6,29906.7,29895.6,0.72567347
1min,2023-10-23 00:29:00,29895.6,29912.0,29912.1,29895.5,1.15126681
15min,2023-10-23 00:30:00,29911.0,30008.7,30008.8,29909.6,15.99556841
1min,2023-10-23 00:30:00,29911.0,29923.8,29923.8,29909.6,4.16807072
5min,2023-10-23 00:30:00,29911.0,29932.0,29932.1,29909.6,6.152622180000001
1min,2023-10-23 00:31:00,29923.7,29917.4,29924.2,29917.4,0.86213806
1min,2023-10-23 00:32:00,29917.3,29922.3,29922.3,29917.3,0.40457246
1min,2023-10-23 00:33:00,29925.2,29931.9,29932.1,29925.2,0.36076234
1min,2023-10-23 00:34:00,29931.9,29932.0,29932.0,29931.9,0.3570786
1min,2023-10-23 00:35:00,29931.9,29942.4,29942.8,29931.9,0.40952614
5min,2023-10-23 00:35:00,29931.9,29946.2,29946.3,29931.9,2.60478954
1min,2023-10-23 00:36:00,29941.6,29932.0,29941.6,29931.9,0.89835887
1min,2023-10-23 00:37:00,29932.0,29932.5,29932.6,29932.0,0.11190771
1min,2023-10-23 00:38:00,29932.5,29932.5,29932.5,29932.5,0.02897432
1min,2023-10-23 00:39:00,29932.5,29946.2,29946.3,29932.5,1.1560225
1min,2023-10-23 00:40:00,29946.3,29946.2,29946.3,29946.2,0.44325969
5min,2023-10-23 00:40:00,29946.3,30008.7,30008.8,29946.2,7.23815669
1min,2023-10-23 00:41:00,29946.3,29951.1,29951.2,29946.2,0.25355668
1min,2023-10-23 00:42:00,29951.1,29954.1,29954.3,29951.1,0.14860061
1min,2023-10-23 00:43:00,29954.0,29986.6,29987.8,29954.0,4.00740558
1min,2023-10-23 00:44:00,29986.6,30008.7,30008.8,29980.5,2.38533413
15min,2023-10-23 00:45:00,30008.8,30118.6,30150.0,29994.5,62.62279806
1min,2023-10-23 00:45:00,30008.8,29996.8,30015.9,29996.8,1.74239299
5min,2023-10-23 00:45:00,30008.8,30102.7,30127.6,29994.5,24.07369542
1min,2023-10-23 00:46:00,29996.8,30039.9,30039.9,29994.5,5.71606374
1min,2023-10-23 00:47:00,30039.9,30068.8,30095.6,30039.9,5.94172198
1min,2023-10-23 00:48:00,30068.7,30124.3,30127.0,30068.0,6.68744987
1min,2023-10-23 00:49:00,30120.4,30102.7,30127.6,30096.4,3.98606684
1min,2023-10-23 00:50:00,30103.2,30107.2,30117.5,30079.9,4.17822895
5min,2023-10-23 00:50:00,30103.2,30081.2,30117.5,30034.9,11.48763262
1min,2023-10-23 00:51:00,30106.1,30078.1,30106.1,30078.1,1.5511605
1min,2023-10-23 00:52:00,30078.1,30047.5,30078.1,30034.9,3.57928525
1min,2023-10-23 00:53:00,30047.5,30066.6,30071.6,30047.4,1.11330428
1min,2023-10-23 00:54:00,30066.6,30081.2,30088.7,30066.6,1.06565364
1min,2023-10-23 00:55:00,30081.2,30082.7,30096.3,30081.1,0.90795439
5min,2023-10-23 00:55:00,30081.2,30118.6,30150.0,30081.1,27.06147002
1min,2023-10-23 00:56:00,30082.7,30112.1,30117.7,30082.7,2.66624445
1min,2023-10-23 00:57:00,30112.0,30133.5,30150.0,30112.0,17.21368736
1min,2023-10-23 00:58:00,30133.6,30118.2,30149.5,30118.2,4.72533252
1min,2023-10-23 00:59:00,30116.8,30118.6,30138.5,30115.4,1.5482513
15min,2023-10-23 01:00:00,30118.5,30132.9,30157.4,30079.3,42.16608653
