timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
1H,2023-08-08 21:21:00,30228.7,29909.4,30310.571842676007,2023-08-08 21:21:00,2023-08-14 05:21:00,,,0,
1H,2023-08-09 02:50:00,29651.6,29772.7,29574.517861404544,2023-08-09 02:50:00,2023-08-14 10:50:00,,,0,
1H,2023-08-09 13:00:00,30135.8,29897.3,30176.23502277646,2023-08-09 13:00:00,2023-08-14 21:00:00,,,0,
1H,2023-08-09 20:07:00,29380.5,29450.807699754205,29310.192300245795,2023-08-09 20:07:00,2023-08-15 04:07:00,,,0,
1H,2023-08-10 01:45:00,29659.0,29592.0,29707.401858642377,2023-08-10 01:45:00,2023-08-15 09:45:00,,,0,
1H,2023-08-10 14:01:00,29737.8,29523.4,29764.288925346485,2023-08-10 14:01:00,2023-08-15 22:01:00,,,0,
1H,2023-08-10 17:32:00,29339.7,29422.3,29277.788565482188,2023-08-10 17:32:00,2023-08-16 01:32:00,,,0,
1H,2023-08-11 00:44:00,29500.5,29456.3,29523.36001190251,2023-08-11 00:44:00,2023-08-16 08:44:00,,,0,
1H,2023-08-11 02:57:00,29350.0,29453.4,29327.13998809749,2023-08-11 02:57:00,2023-08-16 10:57:00,,,0,
1H,2023-08-11 14:12:00,29565.4,29451.1,29583.888315412896,2023-08-11 14:12:00,2023-08-16 22:12:00,,,0,
4H,2023-08-11 16:44:00,29252.3,29453.4,29165.474481136283,2023-08-11 16:44:00,2023-09-02 00:44:00,,,0,
1H,2023-08-12 01:00:00,29460.0,29426.7,29480.401128852187,2023-08-12 01:00:00,2023-08-17 09:00:00,,,0,
1H,2023-08-12 03:35:00,29379.7,29407.9,29359.298871147814,2023-08-12 03:35:00,2023-08-17 11:35:00,,,0,
1H,2023-08-12 16:31:00,29480.4,29456.3,29489.36280782369,2023-08-12 16:31:00,2023-08-18 00:31:00,,,0,
1H,2023-08-13 02:05:00,29453.2,29430.8,29458.557173942292,2023-08-13 02:05:00,2023-08-18 10:05:00,,,0,
1H,2023-08-13 05:18:00,29364.8,29404.7,29357.255981537342,2023-08-13 05:18:00,2023-08-18 13:18:00,,,0,
1H,2023-08-13 19:49:00,29472.5,29373.3,29481.133274813656,2023-08-13 19:49:00,2023-08-19 03:49:00,,,0,
1H,2023-08-14 02:21:00,29100.5,29307.0,29076.597543278633,2023-08-14 02:21:00,2023-08-19 10:21:00,,,0,
4H,2023-08-14 16:50:00,29692.6,29307.0,29730.153280690134,2023-08-14 16:50:00,2023-09-05 00:50:00,,,0,
